variant,hero_class,raw_proc_pct,effective_proc_pct,cap_h,search_s,sale_bonus_pct,skill_damage_pct
mage30,CLERIC,28.176458333333333,28.318668894972895,9.135880055700717,4.685833333333333,19.833333333333332,333.07236842105266
mage30,MAGE,30.0,30.100031224783606,9.135265413808169,4.685833333333333,6.300000000000001,331.98026315789474
mage30,PALADIN,24.655833333333334,24.92502875879466,9.082380776161681,4.689166666666667,19.9,334.3881578947369
mage30,RANGER,28.248958333333334,28.38931232562026,9.135710866268823,4.0,6.2666666666666675,336.4934210526316
mage30,ROGUE,24.392083333333332,24.67377158001615,9.099264999020713,4.0008333333333335,6.4,335.1644736842105
mage30,WARRIOR,24.649166666666666,24.91867458608275,10.0,4.689166666666667,6.533333333333333,331.2171052631579
mage35,CLERIC,28.176458333333333,28.318668894972895,9.135880055700717,4.685833333333333,19.833333333333332,333.07236842105266
mage35,MAGE,35.0,35.035573199950406,9.135265413808169,4.685833333333333,6.300000000000001,331.7697368421052
mage35,PALADIN,24.655833333333334,24.92502875879466,9.082380776161681,4.689166666666667,19.9,334.3881578947369
mage35,RANGER,28.248958333333334,28.38931232562026,9.135710866268823,4.0,6.2666666666666675,336.4934210526316
mage35,ROGUE,24.392083333333332,24.67377158001615,9.099264999020713,4.0008333333333335,6.4,335.1644736842105
mage35,WARRIOR,24.649166666666666,24.91867458608275,10.0,4.689166666666667,6.533333333333333,331.2171052631579
