variant,level,gap_h,session_min,hero_class,calendar_days,speed_vs_paladin_pct
mage30,20,4.0,1.0,WARRIOR,41.90307672051852,0.10666209863203768
mage30,20,4.0,1.0,ROGUE,42.01186173474075,-0.15255289947727624
mage30,20,4.0,1.0,RANGER,42.002238583189296,-0.12967680649068614
mage30,20,4.0,1.0,MAGE,41.83851788562834,0.26113146792230424
mage30,20,4.0,1.0,CLERIC,41.689384584360695,0.6197904808512122
mage30,20,4.0,1.0,PALADIN,41.94777142154002,0.0
mage30,30,4.0,1.0,WARRIOR,94.82668846800568,0.20841441340699873
mage30,30,4.0,1.0,ROGUE,95.0076041354346,0.01759524329350004
mage30,30,4.0,1.0,RANGER,95.05669341973461,-0.03405595549396123
mage30,30,4.0,1.0,MAGE,94.72040933312503,0.32085125428005234
mage30,30,4.0,1.0,CLERIC,94.20924947020299,0.8651714018636403
mage30,30,4.0,1.0,PALADIN,95.02432095452956,0.0
mage30,40,4.0,1.0,WARRIOR,165.85198784548038,0.599569842194736
mage30,40,4.0,1.0,ROGUE,165.5927597482881,0.7570539925174646
mage30,40,4.0,1.0,RANGER,166.6474226274941,0.11939201738091487
mage30,40,4.0,1.0,MAGE,165.68901399224657,0.6985208778476748
mage30,40,4.0,1.0,CLERIC,165.3675378482479,0.8942798074381031
mage30,40,4.0,1.0,PALADIN,166.84638634728236,0.0
mage30,50,4.0,1.0,WARRIOR,251.84913702428713,1.1803037199989985
mage30,50,4.0,1.0,ROGUE,251.4232010278396,1.3517132530478815
mage30,50,4.0,1.0,RANGER,254.13640938053163,0.26966320115602294
mage30,50,4.0,1.0,MAGE,252.3688851536532,0.971925125485873
mage30,50,4.0,1.0,CLERIC,252.52018353333662,0.9114274319896865
mage30,50,4.0,1.0,PALADIN,254.82172175737014,0.0
mage30,60,4.0,1.0,WARRIOR,351.23485512038866,1.8254472412262412
mage30,60,4.0,1.0,ROGUE,352.0097078104186,1.6013064861341686
mage30,60,4.0,1.0,RANGER,355.20902171678085,0.6861988934986574
mage30,60,4.0,1.0,MAGE,354.11592925653935,0.9969991590837779
mage30,60,4.0,1.0,CLERIC,354.5704112911023,0.8675430053809663
mage30,60,4.0,1.0,PALADIN,357.6464620934088,0.0
mage30,70,4.0,1.0,WARRIOR,461.9367068444596,2.5856999549846105
mage30,70,4.0,1.0,ROGUE,465.7340894929031,1.7492631001869707
mage30,70,4.0,1.0,RANGER,468.21653874688934,1.209796077187919
mage30,70,4.0,1.0,MAGE,468.66252023519365,1.1134843527879523
mage30,70,4.0,1.0,CLERIC,469.9367682913933,0.8393120181554359
mage30,70,4.0,1.0,PALADIN,473.8810040653942,0.0
mage30,80,4.0,1.0,WARRIOR,582.4620613200982,3.5017603625025595
mage30,80,4.0,1.0,ROGUE,591.2763936404414,1.9588289663095226
mage30,80,4.0,1.0,RANGER,592.2418966083967,1.7926104793366093
mage30,80,4.0,1.0,MAGE,594.4043500543302,1.422287177897985
mage30,80,4.0,1.0,CLERIC,597.1598214372049,0.9542948584686517
mage30,80,4.0,1.0,PALADIN,602.8584869100207,0.0
mage30,90,4.0,1.0,WARRIOR,710.2886367883605,4.53844704105586
mage30,90,4.0,1.0,ROGUE,726.4880905942443,2.207416752045588
mage30,90,4.0,1.0,RANGER,724.8334905665047,2.440728811703541
mage30,90,4.0,1.0,MAGE,728.9384366310842,1.8638437889686443
mage30,90,4.0,1.0,CLERIC,734.0166314172707,1.1591125631498889
mage30,90,4.0,1.0,PALADIN,742.5247104076378,0.0
mage30,100,4.0,1.0,WARRIOR,846.0788667887149,5.506151326265263
mage30,100,4.0,1.0,ROGUE,871.4507783230443,2.4343854797434616
mage30,100,4.0,1.0,RANGER,865.5182952976046,3.136496869394634
mage30,100,4.0,1.0,MAGE,872.0130685148625,2.368333889073737
mage30,100,4.0,1.0,CLERIC,879.9300342470788,1.447298624994664
mage30,100,4.0,1.0,PALADIN,892.6652495336518,0.0
mage30,20,4.0,5.0,WARRIOR,8.51971269421331,0.10666209863203768
mage30,20,4.0,5.0,ROGUE,8.541830809138158,-0.15255289947724293
mage30,20,4.0,5.0,RANGER,8.539874234756331,-0.12967680649068614
mage30,20,4.0,5.0,MAGE,8.506586624048914,0.26113146792232644
mage30,20,4.0,5.0,CLERIC,8.476264915492424,0.6197904808512344
mage30,20,4.0,5.0,PALADIN,8.528799998570378,0.0
mage30,30,4.0,5.0,WARRIOR,19.280115082706548,0.20841441340702094
mage30,30,4.0,5.0,ROGUE,19.316898766125707,0.017595243293522245
mage30,30,4.0,5.0,RANGER,19.326879574966785,-0.034055955493927925
mage30,30,4.0,5.0,MAGE,19.25850646192168,0.32085125428009675
mage30,30,4.0,5.0,CLERIC,19.15457769311181,0.8651714018636625
mage30,30,4.0,5.0,PALADIN,19.32029762146037,0.0
mage30,40,4.0,5.0,WARRIOR,33.720943586840406,0.5995698421947138
mage30,40,4.0,5.0,ROGUE,33.66823745919551,0.7570539925174202
mage30,40,4.0,5.0,RANGER,33.88267099065232,0.11939201738089267
mage30,40,4.0,5.0,MAGE,33.687807824149715,0.6985208778476526
mage30,40,4.0,5.0,CLERIC,33.62244545462301,0.8942798074381031
mage30,40,4.0,5.0,PALADIN,33.923124195090594,0.0
mage30,50,4.0,5.0,WARRIOR,51.20584113771813,1.1803037199989541
mage30,50,4.0,5.0,ROGUE,51.11924004300472,1.3517132530478815
mage30,50,4.0,5.0,RANGER,51.67088821429896,0.26966320115600073
mage30,50,4.0,5.0,MAGE,51.31151606858508,0.971925125485873
mage30,50,4.0,5.0,CLERIC,51.34227797980703,0.9114274319896642
mage30,50,4.0,5.0,PALADIN,51.810225585523376,0.0
mage30,60,4.0,5.0,WARRIOR,71.41289585435285,1.8254472412262412
mage30,60,4.0,5.0,ROGUE,71.57043851747099,1.6013064861341464
mage30,60,4.0,5.0,RANGER,72.22092142789319,0.6861988934986352
mage30,60,4.0,5.0,MAGE,71.9986744131553,0.9969991590837557
mage30,60,4.0,5.0,CLERIC,72.09107947412454,0.8675430053809219
mage30,60,4.0,5.0,PALADIN,72.71650059160591,0.0
mage30,70,4.0,5.0,WARRIOR,93.92074122563699,2.5856999549846105
mage30,70,4.0,5.0,ROGUE,94.69282317490561,1.7492631001869485
mage30,70,4.0,5.0,RANGER,95.19755352115178,1.2097960771878746
mage30,70,4.0,5.0,MAGE,95.28823025528833,1.1134843527879301
mage30,70,4.0,5.0,CLERIC,95.54730973559448,0.8393120181554137
