variant_old,hero_class,level,gap_h,session_min,days_old,sale_gold_old,n_old,rate_old,sale_rate_old,variant_new,days_new,sale_gold_new,n_new,rate_new,sale_rate_new,progress_uplift_pct,sale_uplift_pct
prior,CLERIC,2,4.0,1.0,0.051634844043478484,381.75,4,19.3667671225648,7393.263349039113,proposed,0.051231427107957375,385.5,4,19.519268863870433,7524.678147022051,0.7874403628675308,1.777493804545971
prior,CLERIC,2,4.0,5.0,0.010498370780624256,381.75,4,95.25287503139013,36362.78504323318,proposed,0.010416348250165608,385.5,4,96.00293461617906,37009.13129453703,0.7874403628675086,1.7774938045459932
prior,CLERIC,2,4.0,12.0,0.008854166666666666,381.75,4,112.94117647058823,43115.29411764706,proposed,0.008854166666666666,385.5,4,112.94117647058823,43538.82352941177,0.0,0.982318271119853
prior,CLERIC,2,8.0,1.0,0.10305543562204628,381.75,4,9.70351533583808,3704.316979456187,proposed,0.10225027568019711,385.5,4,9.779924732209507,3770.160984266765,0.7874403628675086,1.777493804545971
prior,CLERIC,2,8.0,5.0,0.020782489096337814,381.75,4,48.1174317168878,18368.82955792192,proposed,0.020620117964613553,385.5,4,48.49632779580179,18695.33436528159,0.7874403628675086,1.777493804545971
prior,CLERIC,2,8.0,12.0,0.008854166666666666,381.75,4,112.94117647058823,43115.29411764706,proposed,0.008854166666666666,385.5,4,112.94117647058823,43538.82352941177,0.0,0.982318271119853
prior,CLERIC,2,12.0,1.0,0.15447602720061404,381.75,4,6.473496361356612,2471.257235947887,proposed,0.15326912425243683,385.5,4,6.524471284594692,2515.183680211254,0.7874403628674864,1.7774938045459487
prior,CLERIC,2,12.0,5.0,0.03106660741205137,381.75,4,32.1889025968146,12288.113566333974,proposed,0.030823887679061496,385.5,4,32.442371008226026,12506.534023671133,0.7874403628675086,1.777493804545971
prior,CLERIC,2,12.0,12.0,0.013069400359552646,381.75,4,76.51460453341174,29209.45028062993,proposed,0.012967290678777596,385.5,4,77.11711141299628,29728.646449710064,0.7874403628675086,1.777493804545971
prior,CLERIC,2,24.0,1.0,0.3087378019363174,381.75,4,3.2389943626218716,1236.4860979308994,proposed,0.30632566996915594,385.5,4,3.2644995115841593,1258.4645617156934,0.7874403628675086,1.777493804545971
