level,hero_class,effect,value,maximum,share_of_max
1,CLERIC,capacity_bonus_h,0.09480162751312493,0.11646750105892822,0.8139749428053653
1,MAGE,capacity_bonus_h,0.07289265147886193,0.11646750105892822,0.6258625866968757
1,PALADIN,capacity_bonus_h,0.11646750105892822,0.11646750105892822,1.0
1,RANGER,capacity_bonus_h,0.11646750105892822,0.11646750105892822,1.0
1,ROGUE,capacity_bonus_h,0.09480162751312493,0.11646750105892822,0.8139749428053653
1,WARRIOR,capacity_bonus_h,0.11646750105892822,0.11646750105892822,1.0
1,CLERIC,proc_bonus_pp,0.13480382119907158,0.13480382119907158,1.0
1,MAGE,proc_bonus_pp,0.13480382119907158,0.13480382119907158,1.0
1,PALADIN,proc_bonus_pp,0.1087827547436259,0.13480382119907158,0.8069708542088057
1,RANGER,proc_bonus_pp,0.1087827547436259,0.13480382119907158,0.8069708542088057
1,ROGUE,proc_bonus_pp,0.08262405534767425,0.13480382119907158,0.6129207214805814
1,WARRIOR,proc_bonus_pp,0.05632662814281132,0.13480382119907158,0.4178414798763824
1,CLERIC,search_reduction_pct,4.749677002583979,4.749677002583979,1.0
1,MAGE,search_reduction_pct,4.749677002583979,4.749677002583979,1.0
1,PALADIN,search_reduction_pct,4.749677002583979,4.749677002583979,1.0
1,RANGER,search_reduction_pct,4.749677002583979,4.749677002583979,1.0
1,ROGUE,search_reduction_pct,4.749677002583979,4.749677002583979,1.0
1,WARRIOR,search_reduction_pct,4.749677002583979,4.749677002583979,1.0
1,CLERIC,sale_bonus_pct,7.55952380952381,7.55952380952381,1.0
1,MAGE,sale_bonus_pct,7.55952380952381,7.55952380952381,1.0
1,PALADIN,sale_bonus_pct,7.55952380952381,7.55952380952381,1.0
1,RANGER,sale_bonus_pct,7.55952380952381,7.55952380952381,1.0
1,ROGUE,sale_bonus_pct,7.55952380952381,7.55952380952381,1.0
1,WARRIOR,sale_bonus_pct,7.55952380952381,7.55952380952381,1.0
2,CLERIC,capacity_bonus_h,0.1642824345617715,0.18518662273050657,0.8871182601609623
2,MAGE,capacity_bonus_h,0.14314787882658342,0.18518662273050657,0.7729925451197402
2,PALADIN,capacity_bonus_h,0.18518662273050657,0.18518662273050657,1.0
2,RANGER,capacity_bonus_h,0.18518662273050657,0.18518662273050657,1.0
2,ROGUE,capacity_bonus_h,0.1642824345617715,0.18518662273050657,0.8871182601609623
2,WARRIOR,capacity_bonus_h,0.18518662273050657,0.18518662273050657,1.0
2,CLERIC,proc_bonus_pp,0.20884391062225768,0.20884391062225768,1.0
2,MAGE,proc_bonus_pp,0.20884391062225768,0.20884391062225768,1.0
2,PALADIN,proc_bonus_pp,0.18321243653819722,0.20884391062225768,0.877269708234774
2,RANGER,proc_bonus_pp,0.18321243653819722,0.20884391062225768,0.877269708234774
2,ROGUE,proc_bonus_pp,0.15744641264702763,0.20884391062225768,0.7538951563294835
2,WARRIOR,proc_bonus_pp,0.1315447766987745,0.20884391062225768,0.6298712579496921
2,CLERIC,search_reduction_pct,4.842171717171717,5.08950138026225,0.951403950090335
2,MAGE,search_reduction_pct,4.842171717171717,5.08950138026225,0.951403950090335
2,PALADIN,search_reduction_pct,4.842171717171717,5.08950138026225,0.951403950090335
2,RANGER,search_reduction_pct,5.08950138026225,5.08950138026225,1.0
2,ROGUE,search_reduction_pct,5.08950138026225,5.08950138026225,1.0
2,WARRIOR,search_reduction_pct,4.842171717171717,5.08950138026225,0.951403950090335
2,CLERIC,sale_bonus_pct,7.55952380952381,7.65422077922078,0.9876281371509367
2,MAGE,sale_bonus_pct,7.55952380952381,7.65422077922078,0.9876281371509367
2,PALADIN,sale_bonus_pct,7.65422077922078,7.65422077922078,1.0
2,RANGER,sale_bonus_pct,7.55952380952381,7.65422077922078,0.9876281371509367
2,ROGUE,sale_bonus_pct,7.55952380952381,7.65422077922078,0.9876281371509367
2,WARRIOR,sale_bonus_pct,7.55952380952381,7.65422077922078,0.9876281371509367
3,CLERIC,capacity_bonus_h,0.29088717265929764,0.31786254147938964,0.9151351125095025
3,MAGE,capacity_bonus_h,0.2711261567166323,0.31786254147938964,0.8529666800459162
3,PALADIN,capacity_bonus_h,0.310414996882439,0.31786254147938964,0.9765699205628684
3,RANGER,capacity_bonus_h,0.31288289534942715,0.31786254147938964,0.9843339636473479
3,ROGUE,capacity_bonus_h,0.27329224379858763,0.31786254147938964,0.8597812202930116
3,WARRIOR,capacity_bonus_h,0.31786254147938964,0.31786254147938964,1.0
3,CLERIC,proc_bonus_pp,0.35662054417635486,0.35662054417635486,1.0
3,MAGE,proc_bonus_pp,0.35662054417635486,0.35662054417635486,1.0
3,PALADIN,proc_bonus_pp,0.34123897042971607,0.35662054417635486,0.9568685147341586
3,RANGER,proc_bonus_pp,0.33175754392029305,0.35662054417635486,0.9302816378302462
3,ROGUE,proc_bonus_pp,0.3130095107925824,0.35662054417635486,0.8777102606791882
3,WARRIOR,proc_bonus_pp,0.29122559313645435,0.35662054417635486,0.8166259568950643
3,CLERIC,search_reduction_pct,4.98800505050505,5.459931798806479,0.9135654499558785
3,MAGE,search_reduction_pct,4.98800505050505,5.459931798806479,0.9135654499558785
3,PALADIN,search_reduction_pct,4.98800505050505,5.459931798806479,0.9135654499558785
3,RANGER,search_reduction_pct,5.459931798806479,5.459931798806479,1.0
3,ROGUE,search_reduction_pct,5.329390775736751,5.459931798806479,0.9760910890685002
3,WARRIOR,search_reduction_pct,4.98800505050505,5.459931798806479,0.9135654499558785
3,CLERIC,sale_bonus_pct,7.733585858585859,7.917409387997624,0.9767823639774859
