level,class,hp,mp,dex,cha,cap_h,raw_proc_pct,search_s,sale_bonus_pct
1,CLERIC,8.5,10.25,11.0,12.25,8.047400813756562,9.357843056959258,4.8218871124031,5.669642857142857
1,MAGE,6.5,10.25,11.0,12.25,8.036446325739432,9.607843056959258,4.8218871124031,5.669642857142857
1,PALADIN,10.5,8.25,11.0,12.25,8.058233750529464,9.5870262037949,4.8218871124031,5.669642857142857
1,RANGER,10.5,8.25,11.0,12.25,8.058233750529464,9.3370262037949,4.8218871124031,5.669642857142857
1,ROGUE,8.5,6.25,11.0,12.25,8.047400813756562,9.316099244278139,4.8218871124031,5.669642857142857
1,WARRIOR,10.5,4.25,11.0,12.25,8.058233750529464,9.545061302514249,4.8218871124031,5.669642857142857
5,CLERIC,38.5,42.0,12.0,13.0,8.19753668677161,10.42415195594246,4.810376281194296,5.86703431372549
5,MAGE,36.5,42.0,12.0,13.0,8.188202637057598,10.17415195594246,4.810376281194296,5.86703431372549
5,PALADIN,41.25,40.0,12.25,15.0,8.210029154900525,10.404972134280378,4.807586102622867,6.380770474573531
5,RANGER,41.25,38.75,14.5,13.25,8.210217913089217,10.39295116554824,4.781224803239626,5.923340620031796
5,ROGUE,39.0,35.5,14.0,12.75,8.199684064710127,10.361327210429321,4.786476904079962,5.821310745705906
5,WARRIOR,43.0,36.0,12.25,12.75,8.21831211500465,10.366319658658496,4.807586102622867,5.80751050420168
10,CLERIC,81.75,96.5,12.75,14.25,8.376846111753952,11.411474398427725,4.802206171383648,6.2168560606060606
10,MAGE,79.75,96.5,12.75,14.25,8.369274648480255,11.661474398427725,4.802206171383648,6.2168560606060606
10,PALADIN,88.75,83.5,13.5,19.25,8.403490716874082,11.550486677384269,4.7943079960562045,7.297586384787346
10,RANGER,85.75,87.0,19.75,15.0,8.391712828870675,11.3311528046177,4.729960588381331,6.377112470862471
10,ROGUE,83.75,80.5,19.5,14.0,8.384797495763426,11.774576741568787,4.733044220682721,6.161151960784314
10,WARRIOR,98.5,79.5,13.5,14.0,8.438590568613312,11.765760068565875,4.7943079960562045,6.14857233215867
20,CLERIC,180.5,235.0,15.25,17.25,8.676550531603723,14.405893986115597,4.775651765282772,6.901544401544401
20,MAGE,178.5,235.0,15.25,17.25,8.671511849493113,14.405893986115597,4.775651765282772,6.901544401544401
20,PALADIN,186.75,176.0,14.75,30.0,8.69360906673214,13.769331038027076,4.780193592767295,8.979475848310338
20,RANGER,188.25,199.75,29.5,17.25,8.695859690073354,13.929977292137966,4.658577298407807,6.901544401544401
20,ROGUE,185.0,177.5,28.75,15.5,8.689215110851428,13.779109368406845,4.663043238378163,6.518862612612612
20,WARRIOR,235.0,172.0,14.75,17.0,8.802214526233687,13.741205012068063,4.780193592767295,6.870329486428558
30,CLERIC,300.75,447.25,18.5,19.75,8.919184893455247,17.234547285223037,4.742423655647468,7.392434240260327
30,MAGE,298.75,447.25,18.5,19.75,8.915821097955973,16.984547285223037,4.742423655647468,7.392434240260327
30,PALADIN,309.75,297.0,19.25,40.5,8.937287511365703,16.26602216250486,4.735212445389296,10.023860837438423
30,RANGER,317.25,362.0,40.25,19.5,8.94630523745969,16.350495903777716,4.599636668070213,7.356202356202356
30,ROGUE,311.25,303.75,39.5,18.25,8.93897076667085,16.302856577987274,4.603369241053064,7.102563179494564
30,WARRIOR,446.0,293.0,19.25,19.25,9.119890316062268,16.24400634286017,4.735212445389296,7.338574476732371
40,CLERIC,452.75,751.75,22.0,22.5,9.123298282689566,19.750283785901853,4.71282093780135,7.870932156646441
40,MAGE,450.75,751.75,22.0,22.5,9.121085296273604,20.00028378590185,4.71282093780135,7.870932156646441
40,PALADIN,473.25,450.0,23.0,52.0,9.148047492180087,19.243729067274014,4.703879212204008,10.813186813186814
40,RANGER,476.5,583.25,53.0,22.75,9.14897554372919,19.49622041237645,4.550108579309817,7.901544401544401
40,ROGUE,468.5,463.25,51.0,22.25,9.142858964758963,19.300004679839816,4.556441079721362,7.8473279598959955
40,WARRIOR,761.25,446.0,23.0,21.75,9.36953483069247,19.22694355432764,4.703879212204008,7.787951708948528
50,CLERIC,666.75,1221.0,26.75,25.5,9.30712393448704,23.70205863527943,4.676740347894933,8.337513935340022
50,MAGE,664.75,1221.0,26.75,25.5,9.305741315187422,23.45205863527943,4.676740347894933,8.337513935340022
50,PALADIN,692.5,653.0,26.25,67.75,9.326311712093048,22.46435223286067,4.680339390482399,11.571546268209564
50,RANGER,702.25,915.25,67.25,26.0,9.33104921279832,23.14413829966115,4.507524748223452,8.390932738758826
50,ROGUE,683.5,677.5,64.75,25.5,9.321544778538025,22.291386872329284,4.514516645412264,8.36258865248227
50,WARRIOR,1239.25,649.0,26.25,26.25,9.558612325765965,21.952046056118824,4.680339390482399,8.49340260597064
60,CLERIC,948.75,1920.0,31.5,29.75,9.457064061640013,25.749556298042712,4.646043505674653,8.905689218728952
60,MAGE,946.75,1920.0,31.5,29.75,9.456214679737048,25.749556298042712,4.646043505674653,8.905689218728952
60,PALADIN,977.25,930.0,31.25,84.5,9.470067701147451,24.417902195182045,4.64816063174114,12.122038528790586
60,RANGER,1011.25,1393.75,84.0,31.25,9.483032753771022,25.198628470533105,4.471294469226264,9.035297513659827
60,ROGUE,988.5,969.5,80.5,29.0,9.47586123198187,24.505572307370592,4.478639736622074,8.829670329670328
60,WARRIOR,1933.0,926.0,31.25,30.5,9.69239397233596,24.40930090035974,4.64816063174114,9.033008916549289
70,CLERIC,1294.0,2832.75,36.5,34.75,9.570903605876783,26.322818419806335,4.618422232569286,9.457991803278688
