level,gap_h,session_min,progress_gap_pct,sale_gap_pct
2,4.0,1,0.03249435290388902,0.03249435290388902
2,4.0,5,0.03249435290388902,0.03249435290388902
2,4.0,12,0.0,0.0
2,8.0,1,0.03249435290391123,0.03249435290388902
2,8.0,5,0.03249435290386682,0.03249435290386682
2,8.0,12,0.0,0.0
2,12.0,1,0.03249435290393343,0.03249435290391123
2,12.0,5,0.03249435290391123,0.03249435290391123
2,12.0,12,0.03249435290388902,0.03249435290388902
2,24.0,1,0.03249435290388902,0.03249435290388902
2,24.0,5,0.03249435290388902,0.03249435290391123
2,24.0,12,0.03249435290388902,0.03249435290388902
3,4.0,1,3.2377739119671567,5.495036251253871
3,4.0,5,3.237773911967179,5.495036251253893
3,4.0,12,3.273809523809512,5.471284101769536
3,8.0,1,3.2377739119671567,5.495036251253871
3,8.0,5,3.2377739119671567,5.495036251253871
3,8.0,12,3.273809523809512,5.471284101769536
3,12.0,1,3.2377739119671567,5.495036251253893
3,12.0,5,3.2377739119671567,5.495036251253871
3,12.0,12,3.2377739119671567,5.495036251253871
3,24.0,1,3.2377739119671567,5.495036251253915
3,24.0,5,3.2377739119671567,5.495036251253871
3,24.0,12,3.2377739119671567,5.495036251253893
4,4.0,1,1.851241280963345,3.0079906638695864
4,4.0,5,1.851241280963345,3.0079906638696086
4,4.0,12,1.8888888888889177,2.9811198998797472
4,8.0,1,1.8512412809633227,3.0079906638695864
4,8.0,5,1.8512412809633227,3.007990663869564
4,8.0,12,1.8888888888889177,2.9811198998797472
4,12.0,1,1.8512412809633227,3.0079906638695864
4,12.0,5,1.851241280963345,3.0079906638696086
4,12.0,12,1.851241280963345,3.007990663869564
4,24.0,1,1.851241280963345,3.0079906638695864
4,24.0,5,1.8512412809633227,3.0079906638695864
4,24.0,12,1.8512412809633227,3.0079906638695864
5,4.0,1,0.7765185598119784,1.064904181875459
5,4.0,5,0.7765185598119562,1.064904181875459
5,4.0,12,0.7602339181286499,1.0485729394900334
5,8.0,1,0.7765185598119562,1.0649041818754368
5,8.0,5,0.7765185598119562,1.064904181875459
5,8.0,12,0.7602339181286499,1.0485729394900334
5,12.0,1,0.7765185598120006,1.064904181875459
5,12.0,5,0.7765185598119562,1.064904181875459
5,12.0,12,0.7765185598119784,1.0649041818754812
5,24.0,1,0.7765185598119784,1.064904181875459
5,24.0,5,0.7765185598120006,1.064904181875459
5,24.0,12,0.7765185598119784,1.064904181875459
6,4.0,1,0.8583310057901361,1.1844883005576623
6,4.0,5,0.8583310057901361,1.1844883005576845
6,4.0,12,0.8369723435225573,1.2349149033497264
6,8.0,1,0.8583310057901361,1.1844883005576623
6,8.0,5,0.8583310057901583,1.1844883005576623
6,8.0,12,0.8369723435225573,1.2349149033497264
6,12.0,1,0.8583310057901361,1.1844883005576623
6,12.0,5,0.8583310057901361,1.1844883005576845
6,12.0,12,0.8583310057901583,1.1844883005576845
6,24.0,1,0.8583310057901361,1.18448830055764
6,24.0,5,0.8583310057901805,1.1844883005576623
6,24.0,12,0.8583310057901583,1.1844883005576623
7,4.0,1,1.2221580119766928,1.3001200185547068
7,4.0,5,1.222158011976715,1.300120018554729
7,4.0,12,1.1937329022631005,1.271673015624919
7,8.0,1,1.222158011976715,1.300120018554729
7,8.0,5,1.222158011976715,1.300120018554729
7,8.0,12,1.1937329022631005,1.271673015624919
7,12.0,1,1.2221580119767372,1.300120018554729
7,12.0,5,1.222158011976715,1.300120018554729
7,12.0,12,1.222158011976715,1.300120018554729
7,24.0,1,1.222158011976715,1.300120018554729
7,24.0,5,1.2221580119766928,1.3001200185547068
7,24.0,12,1.2221580119766928,1.300120018554729
8,4.0,1,1.4331297851236435,2.473872146114253
8,4.0,5,1.4331297851236657,2.4738721461142754
8,4.0,12,1.4492753623188248,2.438870668592119
8,8.0,1,1.4331297851236435,2.473872146114253
8,8.0,5,1.4331297851236435,2.4738721461142754
8,8.0,12,1.4492753623188248,2.438870668592119
8,12.0,1,1.4331297851236657,2.4738721461142754
8,12.0,5,1.4331297851236435,2.4738721461142754
8,12.0,12,1.4331297851236435,2.4738721461142754
8,24.0,1,1.4331297851236435,2.473872146114253
8,24.0,5,1.4331297851236435,2.4738721461142976
8,24.0,12,1.4331297851236435,2.473872146114253
9,4.0,1,1.5540025640256028,2.828109216617225
9,4.0,5,1.554002564025625,2.828109216617225
9,4.0,12,1.5700316760776767,2.7886569868981637
9,8.0,1,1.554002564025625,2.8281092166172472
9,8.0,5,1.554002564025625,2.828109216617225
9,8.0,12,1.5700316760776767,2.7886569868981637
9,12.0,1,1.554002564025625,2.8281092166172472
9,12.0,5,1.5540025640256028,2.8281092166172472
9,12.0,12,1.554002564025625,2.8281092166172472
9,24.0,1,1.5540025640256028,2.828109216617225
9,24.0,5,1.554002564025625,2.8281092166172694
9,24.0,12,1.5540025640256028,2.828109216617225
10,4.0,1,1.6328631379047165,2.6737409030819226
10,4.0,5,1.6328631379047387,2.6737409030819226
10,4.0,12,1.5914257875933924,2.631879170191409
10,8.0,1,1.6328631379046943,2.6737409030819004
10,8.0,5,1.6328631379047165,2.6737409030819226
10,8.0,12,1.5914257875933924,2.631879170191409
10,12.0,1,1.6328631379047387,2.673740903081945
10,12.0,5,1.6328631379047165,2.673740903081945
10,12.0,12,1.6328631379047387,2.6737409030819226
10,24.0,1,1.6328631379047165,2.673740903081945
10,24.0,5,1.6328631379047165,2.6737409030819226
10,24.0,12,1.6328631379047165,2.6737409030819226
11,4.0,1,1.9016550221875983,2.8906535296147506
11,4.0,5,1.9016550221875983,2.8906535296147506
11,4.0,12,1.8575308858319373,2.8461011499200994
11,8.0,1,1.9016550221876205,2.890653529614773
11,8.0,5,1.9016550221876205,2.890653529614795
11,8.0,12,1.8575308858319373,2.8461011499200994
11,12.0,1,1.9016550221876205,2.890653529614795
11,12.0,5,1.9016550221875983,2.890653529614795
11,12.0,12,1.9016550221875983,2.890653529614773
11,24.0,1,1.9016550221875983,2.890653529614773
11,24.0,5,1.9016550221875983,2.890653529614773
11,24.0,12,1.9016550221876205,2.890653529614773
12,4.0,1,1.9847987344330686,2.873351432376303
12,4.0,5,1.9847987344330908,2.8733514323763254
12,4.0,12,1.938236783105518,2.8263838054187973
12,8.0,1,1.9847987344330464,2.873351432376303
12,8.0,5,1.9847987344330686,2.873351432376303
12,8.0,12,1.938236783105518,2.8263838054187973
12,12.0,1,1.9847987344330908,2.873351432376303
12,12.0,5,1.9847987344330686,2.873351432376303
12,12.0,12,1.9847987344330686,2.8733514323763254
12,24.0,1,1.9847987344330686,2.8733514323763254
12,24.0,5,1.9847987344330464,2.873351432376303
12,24.0,12,1.9847987344330686,2.873351432376303
13,4.0,1,2.041521866412732,2.512288026057008
13,4.0,5,2.041521866412732,2.512288026057008
13,4.0,12,1.9941634241245065,2.4647110967098707
13,8.0,1,2.041521866412732,2.51228802605703
13,8.0,5,2.041521866412732,2.512288026057008
13,8.0,12,1.9941634241245065,2.4647110967098707
13,12.0,1,2.041521866412732,2.51228802605703
13,12.0,5,2.041521866412732,2.512288026057008
13,12.0,12,2.04152186641271,2.512288026057008
13,24.0,1,2.0415218664127543,2.512288026057008
13,24.0,5,2.04152186641271,2.5122880260569858
13,24.0,12,2.0415218664127543,2.51228802605703
14,4.0,1,2.1214556488097447,2.776799131069385
14,4.0,5,2.1214556488097447,2.776799131069363
14,4.0,12,2.0745811939214764,2.729623868987363
14,8.0,1,2.1214556488097447,2.776799131069385
14,8.0,5,2.1214556488097447,2.776799131069385
14,8.0,12,2.0745811939214764,2.729623868987363
14,12.0,1,2.1214556488097447,2.776799131069385
14,12.0,5,2.1214556488097447,2.776799131069385
