hp_hours,hp_k,mp_pp,mp_k,dex_max,dex_k,cha_max,cha_k,score,max_progress_gap,mean_progress_gap,max_sale_gap,baseline_max_gap,min_uplift,max_uplift
2.0,350.0,8.0,750.0,0.15,35.0,0.15,20.0,0.10711262044384356,0.0658827648720679,0.030316536590432763,0.06730144284833495,0.05111186099682907,0.010025388504684152,0.33591063577110325
2.0,350.0,8.0,750.0,0.2,35.0,0.15,20.0,0.10723276165495763,0.06578438046819768,0.03133645969901613,0.06722853252401184,0.05111186099682907,0.012446909635101866,0.3506426015408377
2.0,350.0,8.0,750.0,0.15,20.0,0.15,20.0,0.10724316603710493,0.06603751725826323,0.029847009914253174,0.06748779260055682,0.05111186099682907,0.013662029597286907,0.34019906006161404
2.0,350.0,8.0,750.0,0.2,50.0,0.15,20.0,0.10728846442469323,0.06575249654482462,0.03181101554570818,0.0671664279868831,0.05111186099682907,0.010025388504684152,0.34645998172385517
2.0,350.0,8.0,750.0,0.2,20.0,0.15,20.0,0.10733865777720215,0.06599132509171368,0.030432927592072122,0.06747820157494089,0.05111186099682907,0.01732495309511428,0.35554374020748925
2.0,350.0,8.0,750.0,0.2,75.0,0.15,20.0,0.10736755341878372,0.06578124184178091,0.03201190265003158,0.06716667182898983,0.05111186099682907,0.00789835134828154,0.34070322886995674
2.0,350.0,8.0,750.0,0.25,35.0,0.15,20.0,0.10741200248930549,0.06568511339927485,0.03259781271475949,0.06715487182268154,0.05111186099682907,0.014880069793067774,0.3657031085145266
2.0,350.0,8.0,750.0,0.25,50.0,0.15,20.0,0.10748192130871263,0.06564559719121954,0.033190664379878686,0.06707731604504685,0.05111186099682907,0.011840441461752782,0.36036195224940015
2.0,350.0,8.0,750.0,0.25,20.0,0.15,20.0,0.10749748558770941,0.0659445562220613,0.03127476590584109,0.06746847577837567,0.05111186099682907,0.021014444950219868,0.37197292547456495
2.0,350.0,8.0,750.0,0.25,75.0,0.15,20.0,0.1075799151227099,0.06568211361595355,0.03343503971415882,0.06707808315643327,0.05111186099682907,0.009173497230928085,0.3530248975404382
2.0,350.0,8.0,750.0,0.25,100.0,0.15,20.0,0.10761740478445017,0.06573718660503958,0.03329156424411396,0.06711465423676422,0.05111186099682907,0.0077247174478010106,0.34714047270632764
2.0,350.0,8.0,750.0,0.3,35.0,0.15,20.0,0.10767752257322033,0.06558495173340595,0.0342093851585503,0.0670804491003536,0.05111186099682907,0.01732495309511428,0.3811032709406619
2.0,350.0,8.0,750.0,0.3,20.0,0.15,20.0,0.10771768346243624,0.0658971997813711,0.03236471002405263,0.06745861235010397,0.05111186099682907,0.02473079527796096,0.38880523999976746
2.0,350.0,8.0,750.0,0.3,50.0,0.15,20.0,0.1077687967482099,0.0655379467645385,0.03494844466639776,0.06698747763414392,0.05111186099682907,0.013662029597286907,0.37455398862253864
2.0,350.0,8.0,750.0,0.3,75.0,0.15,20.0,0.10785582188579472,0.06558247600944767,0.03511546189004526,0.06698896080767147,0.05111186099682907,0.010451873710710213,0.3655751504119864
2.0,350.0,8.0,750.0,0.3,100.0,0.15,20.0,0.10786330379957838,0.06564901774562926,0.03479058735886812,0.06703327842846418,0.05111186099682907,0.008709434675524541,0.3583888345518673
2.0,350.0,8.0,1000.0,0.15,35.0,0.15,20.0,0.10791687563320691,0.06644107626189744,0.030741238666206115,0.0675809794095159,0.05111186099682907,0.009349424427422148,0.33286680688467385
2.0,350.0,8.0,1000.0,0.15,20.0,0.15,20.0,0.10803638937646724,0.06659808790557231,0.030216953813385572,0.06776812603509708,0.05111186099682907,0.01298119072035897,0.3364431692980481
2.0,350.0,8.0,1000.0,0.2,35.0,0.15,20.0,0.10806689825261381,0.06634553964015555,0.03186588721420046,0.0675097736178163,0.05111186099682907,0.011767701534227015,0.3475313480618636
2.0,350.0,8.0,1000.0,0.2,50.0,0.15,20.0,0.10811935239455683,0.06631162592368067,0.032337458643647995,0.06744672361992832,0.05111186099682907,0.009349424427422148,0.34336794597940967
2.0,350.0,8.0,1000.0,0.2,20.0,0.15,20.0,0.10815134145496004,0.06655553233904521,0.030862195907084576,0.06776052027828738,0.05111186099682907,0.016639186494900038,0.3524098920598455
2.0,350.0,8.0,1000.0,0.2,75.0,0.15,20.0,0.10819509174336218,0.06633821685069363,0.0325358728129999,0.06744581337883715,0.05111186099682907,0.007225230383027137,0.33763754633305854
2.0,350.0,8.0,1000.0,0.25,35.0,0.15,20.0,0.10824997341780691,0.06624914908529611,0.03312762171104814,0.06743783780949753,0.05111186099682907,0.014197594259797386,0.36252216506717483
2.0,350.0,8.0,1000.0,0.25,50.0,0.15,20.0,0.10832425211899804,0.06620707172861073,0.03375054947867871,0.06735908604143526,0.05111186099682907,0.011162046552594784,0.35720581223254944
2.0,350.0,8.0,1000.0,0.25,20.0,0.15,20.0,0.10834172660233278,0.06651244746168516,0.03181150043907007,0.0677528080617602,0.05111186099682907,0.020323696934225532,0.3687627424749158
2.0,350.0,8.0,1000.0,0.25,75.0,0.15,20.0,0.10841210432466222,0.06624087539420698,0.03396812198324119,0.0673583968692899,0.05111186099682907,0.008498672556081832,0.3499026716599567
2.0,350.0,8.0,1000.0,0.25,100.0,0.15,20.0,0.10844455275435201,0.06629425796385324,0.03381322692708703,0.06739397611745401,0.05111186099682907,0.007051828306593233,0.3440453143800315
2.0,350.0,8.0,1000.0,0.3,35.0,0.15,20.0,0.10852579439083043,0.06615189309688141,0.03476528377521502,0.06736516070029053,0.05111186099682907,0.016639186494900038,0.3778502695159056
2.0,350.0,8.0,1000.0,0.3,20.0,0.15,20.0,0.10856716685502381,0.06646882333625315,0.032903399805992585,0.06774498713454502,0.05111186099682907,0.02403501137080455,0.38551589872778025
2.0,350.0,8.0,750.0,0.15,35.0,0.15,35.0,0.10860767685081935,0.0658827648720679,0.030316536590432763,0.07029155566228651,0.05111186099682907,0.010025388504684152,0.33591063577110325
2.0,350.0,8.0,1000.0,0.3,50.0,0.15,20.0,0.10861204157945473,0.0661017856617434,0.03549955015686923,0.06727073675698803,0.05111186099682907,0.01298119072035897,0.3713317299489238
2.0,350.0,8.0,1000.0,0.3,75.0,0.15,20.0,0.1086940398802359,0.06614303558327017,0.03566310567859053,0.0672704557546362,0.05111186099682907,0.009775338849789428,0.36239480231290533
2.0,350.0,8.0,1000.0,0.3,100.0,0.15,20.0,0.1087022109648438,0.06620753729532547,0.03535154592472184,0.06731357437667573,0.05111186099682907,0.008035230279061834,0.35524183286224864
2.0,350.0,8.0,750.0,0.2,35.0,0.15,35.0,0.10872771593048011,0.06578438046819768,0.03133645969901613,0.07021844107505681,0.05111186099682907,0.012446909635101866,0.3506426015408377
2.0,350.0,8.0,750.0,0.15,20.0,0.15,35.0,0.10873848347941695,0.06603751725826323,0.029847009914253174,0.07047842748518085,0.05111186099682907,0.013662029597286907,0.34019906006161404
2.0,350.0,8.0,750.0,0.2,50.0,0.15,35.0,0.10878333170531199,0.06575249654482462,0.03181101554570818,0.07015616254812063,0.05111186099682907,0.010025388504684152,0.34645998172385517
2.0,350.0,8.0,750.0,0.2,20.0,0.15,35.0,0.10883396178458045,0.06599132509171368,0.030432927592072122,0.07046880958969748,0.05111186099682907,0.01732495309511428,0.35554374020748925
2.0,350.0,8.0,750.0,0.2,75.0,0.15,35.0,0.10886242104097214,0.06578124184178091,0.03201190265003158,0.07015640707336668,0.05111186099682907,0.00789835134828154,0.34070322886995674
2.0,350.0,8.0,750.0,0.25,35.0,0.15,35.0,0.10890685358226015,0.06568511339927485,0.03259781271475949,0.07014457400859087,0.05111186099682907,0.014880069793067774,0.3657031085145266
2.0,350.0,8.0,750.0,0.25,50.0,0.15,35.0,0.10897666376294761,0.06564559719121954,0.033190664379878686,0.0700668009535168,0.05111186099682907,0.011840441461752782,0.36036195224940015
2.0,350.0,8.0,750.0,0.25,20.0,0.15,35.0,0.10899277597136911,0.0659445562220613,0.03127476590584109,0.07045905654569506,0.05111186099682907,0.021014444950219868,0.37197292547456495
2.0,350.0,8.0,750.0,0.25,75.0,0.15,35.0,0.10907465865150043,0.06568211361595355,0.03343503971415882,0.07006757021401433,0.05111186099682907,0.009173497230928085,0.3530248975404382
2.0,350.0,8.0,750.0,0.25,100.0,0.15,35.0,0.10911219954134346,0.06573718660503958,0.03329156424411396,0.0701042437505508,0.05111186099682907,0.0077247174478010106,0.34714047270632764
2.0,350.0,8.0,750.0,0.3,35.0,0.15,35.0,0.10917226941618202,0.06558495173340595,0.0342093851585503,0.07006994278627698,0.05111186099682907,0.01732495309511428,0.3811032709406619
2.0,350.0,8.0,750.0,0.3,20.0,0.15,35.0,0.10921296002958533,0.0658971997813711,0.03236471002405263,0.07044916548440217,0.05111186099682907,0.02473079527796096,0.38880523999976746
