variant_base,level,gap_h,session_min,hero_class,calendar_days_base,days_min_base,days_max_base,sale_gold_base,online_days_base,n_base,progress_rate_base,sale_gold_day_base,variant_selected,calendar_days_selected,days_min_selected,days_max_selected,sale_gold_selected,online_days_selected,n_selected,progress_rate_selected,sale_gold_day_selected,progress_uplift_pct,sale_uplift_pct,days_saved_pct
baseline8,5,4.0,1.0,CLERIC,1.7674966124661247,1.714430894308943,1.816480352303523,61250.0,0.3006944444444445,4,0.5657719471409542,34653.53176238345,selected,1.7102671713697828,1.6705720368784691,1.7486802146219231,64500.25,0.29670138888888886,4,0.5847039671579982,37713.552057682675,3.3462281247266024,8.830327356765677,3.237881232286588
baseline8,5,4.0,1.0,MAGE,1.7532096883468835,1.669529132791328,1.8328082655826559,61250.0,0.2982638888888889,4,0.5703824286659679,34935.92375579053,selected,1.6951713065598801,1.6351321129830256,1.762278292459234,64500.25,0.29375,4,0.5899108816496925,38049.39934412557,3.4237472969492533,8.911960107592677,3.310407315951369
baseline8,5,4.0,1.0,PALADIN,1.7562711720867208,1.7185128726287264,1.8083163956639567,61475.0,0.29878472222222224,4,0.5693881536595775,35003.136746222524,selected,1.7003477574252994,1.6496453949845962,1.7432551649167038,64844.0,0.2953125,4,0.5881149874389342,38135.72824549025,3.2889398311144236,8.949459364111956,3.1842129820405685
baseline8,5,4.0,1.0,RANGER,1.7634146341463413,1.6858570460704605,1.8246443089430893,61340.0,0.3,4,0.5670816044260029,34784.78561549101,selected,1.7049924806787018,1.6513142190321455,1.7467255679685212,64714.75,0.29618055555555556,4,0.5865128505446151,37956.03249478213,3.4265343765260248,9.116764192097925,3.313012852245112
baseline8,5,4.0,1.0,ROGUE,1.7532096883468835,1.734840785907859,1.7674966124661244,61360.0,0.2982638888888889,4,0.5703824286659679,34998.66582294379,selected,1.692225973062239,1.6747863130976146,1.7148150113151468,64488.25,0.2934027777777778,4,0.5909376264863774,38108.53339126013,3.6037571964628867,8.885674625567086,3.478403963312937
baseline8,5,4.0,1.0,WARRIOR,1.7634146341463415,1.7185128726287264,1.8083163956639567,61475.0,0.30000000000000004,4,0.5670816044260027,34861.34163208852,selected,1.70525993552032,1.6496615061955389,1.7432551649167038,64649.5,0.29635416666666664,4,0.5864208612248158,37911.81546775373,3.4103128452541265,8.750305332074104,3.2978459801754956
baseline8,5,4.0,5.0,CLERIC,0.3593665311653116,0.3485772357723576,0.3693258807588075,61250.0,0.3006944444444445,4,2.782674270632041,170438.7990762125,selected,0.34773066969759064,0.33965987471802894,0.35554079052478926,64500.25,0.29670138888888886,4,2.8757888996954613,185489.10297758217,3.3462281247266024,8.830327356765654,3.237881232286588
baseline8,5,4.0,5.0,MAGE,0.35646172086720856,0.3394478319783197,0.37264566395663945,61250.0,0.2982638888888889,4,2.8053503124183328,171827.70663562286,selected,0.3446613859810544,0.33245424703804255,0.35830554493984423,64500.25,0.29375,4,2.9013984179097125,187140.92330478094,3.4237472969492533,8.911960107592677,3.310407315951358
baseline8,5,4.0,5.0,PALADIN,0.35708418021680205,0.3494071815718156,0.3676659891598915,61475.0,0.29878472222222224,4,2.8004601026930245,172158.2848130537,selected,0.3457138593935256,0.3354050803080714,0.35443777211999367,64844.0,0.2953125,4,2.8925655504649623,187565.52055435002,3.288939831114379,8.949459364111934,3.184212982040535
baseline8,5,4.0,5.0,RANGER,0.35853658536585353,0.3427676151761517,0.37098577235772345,61340.0,0.3,4,2.7891156462585043,171084.35374149666,selected,0.34665822221268205,0.3357443847824694,0.3551433727404877,64714.75,0.29618055555555556,4,2.8846856526786175,186681.71084168358,3.4265343765260026,9.116764192097925,3.313012852245112
baseline8,5,4.0,5.0,ROGUE,0.35646172086720856,0.3527269647696476,0.35936653116531153,61360.0,0.2982638888888889,4,2.8053503124183328,172136.29516998888,selected,0.34406254224087013,0.3405167192605108,0.3486553342507975,64488.25,0.2934027777777778,4,2.9064483261881016,187431.76627129986,3.6037571964628645,8.885674625567086,3.478403963312926
baseline8,5,4.0,5.0,WARRIOR,0.35853658536585353,0.3494071815718156,0.3676659891598915,61475.0,0.30000000000000004,4,2.7891156462585043,171460.88435374157,selected,0.34671260099790735,0.33540835603145813,0.35443777211999367,64649.5,0.29635416666666664,4,2.8842332154118497,186464.23525976838,3.410312845254082,8.750305332074081,3.2978459801754623
baseline8,5,4.0,12.0,CLERIC,0.3006944444444445,0.2916666666666667,0.3090277777777778,61250.0,0.3006944444444445,4,3.3256351039260967,203695.1501154734,selected,0.29670138888888886,0.28958333333333336,0.30416666666666664,64500.25,0.29670138888888886,4,3.3703920421299007,217391.12931538915,1.3458162668227303,6.723763031251151,1.3279445727482853
baseline8,5,4.0,12.0,MAGE,0.2982638888888889,0.28402777777777777,0.31180555555555556,61250.0,0.2982638888888889,4,3.352735739231665,205355.06402793946,selected,0.29375,0.28194444444444444,0.30625,64500.25,0.29375,4,3.404255319148936,219575.31914893616,1.5366430260047137,6.9247160708254984,1.5133876600698426
baseline8,5,4.0,12.0,PALADIN,0.29878472222222224,0.2923611111111111,0.3076388888888889,61475.0,0.29878472222222224,4,3.346891342242882,205750.14526438116,selected,0.2953125,0.2875,0.3034722222222222,64844.0,0.2953125,4,3.3862433862433865,219577.56613756614,1.1757789535567387,6.720491426830955,1.1621150493899002
baseline8,5,4.0,12.0,RANGER,0.3,0.28680555555555554,0.3104166666666667,61340.0,0.3,4,3.3333333333333335,204466.6666666667,selected,0.29618055555555556,0.28541666666666665,0.30416666666666664,64714.75,0.29618055555555556,4,3.376318874560375,218497.63188745602,1.289566236811246,6.862226224709489,1.27314814814814
baseline8,5,4.0,12.0,ROGUE,0.2982638888888889,0.2951388888888889,0.30069444444444443,61360.0,0.2982638888888889,4,3.352735739231665,205723.86495925495,selected,0.2934027777777778,0.2902777777777778,0.29583333333333334,64488.25,0.2934027777777778,4,3.4082840236686387,219794.2721893491,1.6568047337278013,6.839462807526431,1.6298020954598313
baseline8,5,4.0,12.0,WARRIOR,0.30000000000000004,0.2923611111111111,0.3076388888888889,61475.0,0.30000000000000004,4,3.333333333333333,204916.66666666663,selected,0.29635416666666664,0.2875,0.3034722222222222,64649.5,0.29635416666666664,4,3.374340949033392,218149.45518453428,1.230228471001782,6.457643847678396,1.2152777777778012
baseline8,5,8.0,1.0,CLERIC,3.5276592140921412,3.421747967479675,3.6254234417344176,61250.0,0.3006944444444445,4,0.2834740940976507,17362.788263481103,selected,3.413437798460023,3.3342122395790197,3.4901044947433406,64500.25,0.29670138888888886,4,0.29295978396066025,18895.979305408575,3.3462281247266024,8.830327356765677,3.237881232286599
baseline8,5,8.0,1.0,MAGE,3.499144647696477,3.3321307588075886,3.658011517615176,61250.0,0.2982638888888889,4,0.2857841274604953,17504.27780695534,selected,3.3833087072834127,3.2634794454142555,3.5172442268584723,64500.25,0.29375,4,0.295568653799534,19064.252062233394,3.4237472969492533,8.911960107592654,3.310407315951358
