,,hp_hours,hp_hours,hp_hours,mp_pct,mp_pct,mp_pct,dex_seconds,dex_seconds,dex_seconds,cha_pct,cha_pct,cha_pct
,,mean,min,max,mean,min,max,mean,min,max,mean,min,max
class,level,,,,,,,,,,,,
CLERIC,1,8.005666666666666,8.004666666666667,8.006666666666666,9.267083333333332,9.014999999999999,10.020000000000001,4.926666666666667,4.913333333333333,4.946666666666666,1.6333333333333335,1.3333333333333335,2.0000000000000004
CLERIC,2,8.01,8.008,8.011333333333333,9.276666666666666,9.023333333333333,10.03,4.925,4.913333333333333,4.9399999999999995,1.6333333333333335,1.3333333333333335,2.0000000000000004
CLERIC,3,8.018333333333333,8.014,8.021333333333333,9.29625,9.04,10.055,4.921666666666667,4.9,4.9399999999999995,1.7000000000000002,1.3333333333333335,2.1333333333333337
CLERIC,4,8.022333333333332,8.016,8.026,9.558333333333334,9.051666666666666,10.066666666666666,4.92,4.8933333333333335,4.9399999999999995,1.7333333333333334,1.3333333333333335,2.1333333333333337
CLERIC,5,8.025666666666666,8.018,8.03,10.07,9.071666666666667,11.076666666666666,4.92,4.8933333333333335,4.9399999999999995,1.7333333333333334,1.3333333333333335,2.1333333333333337
CLERIC,6,8.033999999999999,8.026,8.04,10.344166666666666,10.088333333333335,11.105,4.92,4.8933333333333335,4.9399999999999995,1.766666666666667,1.3333333333333335,2.1333333333333337
CLERIC,7,8.037666666666667,8.028666666666666,8.044,10.355416666666667,10.096666666666668,11.116666666666667,4.92,4.8933333333333335,4.9399999999999995,1.8333333333333335,1.4666666666666668,2.1333333333333337
CLERIC,8,8.041833333333333,8.031333333333333,8.048666666666668,10.367916666666666,10.106666666666667,11.129999999999999,4.92,4.8933333333333335,4.9399999999999995,1.866666666666667,1.4666666666666668,2.1333333333333337
CLERIC,9,8.050666666666666,8.036666666666667,8.059333333333333,10.645416666666668,10.135000000000002,12.158333333333333,4.916666666666666,4.88,4.9399999999999995,1.9000000000000004,1.6,2.1333333333333337
CLERIC,10,8.0545,8.039333333333333,8.064,10.660833333333333,10.148333333333333,12.176666666666666,4.915,4.88,4.933333333333334,1.9000000000000004,1.6,2.1333333333333337
CLERIC,11,8.058666666666667,8.042,8.069333333333333,10.674583333333334,10.158333333333335,12.194999999999999,4.915,4.88,4.933333333333334,1.9333333333333336,1.6,2.1333333333333337
CLERIC,12,8.0635,8.046666666666667,8.075333333333333,11.189583333333335,10.198333333333334,12.21,4.915,4.88,4.933333333333334,2.0333333333333337,1.7333333333333336,2.2666666666666666
CLERIC,13,8.073166666666665,8.056,8.085333333333333,11.470416666666667,11.201666666666666,12.248333333333333,4.911666666666667,4.88,4.926666666666667,2.0333333333333337,1.7333333333333336,2.2666666666666666
CLERIC,14,8.078,8.058666666666667,8.091333333333333,11.736666666666668,11.215,13.265000000000002,4.911666666666667,4.88,4.926666666666667,2.0333333333333337,1.7333333333333336,2.2666666666666666
CLERIC,15,8.086833333333333,8.066,8.1,11.769166666666667,11.241666666666667,13.3,4.908333333333333,4.866666666666667,4.926666666666667,2.1,1.866666666666667,2.4
CLERIC,16,8.0915,8.068666666666667,8.106,11.786249999999999,11.256666666666666,13.321666666666667,4.905,4.866666666666667,4.926666666666667,2.1,1.866666666666667,2.4
CLERIC,17,8.0955,8.072,8.11,12.052916666666667,11.286666666666667,13.338333333333333,4.905,4.866666666666667,4.926666666666667,2.166666666666667,1.866666666666667,2.5333333333333337
CLERIC,18,8.105166666666666,8.08,8.120666666666667,12.337083333333332,11.346666666666666,13.378333333333334,4.903333333333333,4.866666666666667,4.926666666666667,2.2,1.866666666666667,2.666666666666667
CLERIC,19,8.110166666666666,8.084,8.126666666666667,12.355416666666667,11.366666666666667,13.4,4.8999999999999995,4.859999999999999,4.926666666666667,2.2333333333333334,1.866666666666667,2.8000000000000003
CLERIC,20,8.120333333333333,8.093333333333334,8.14,12.891666666666667,12.354999999999999,14.44166666666667,4.898333333333333,4.8533333333333335,4.926666666666667,2.3000000000000003,2.0000000000000004,2.9333333333333336
CLERIC,21,8.125666666666667,8.098666666666666,8.147333333333334,12.911249999999999,12.371666666666666,14.465,4.898333333333333,4.8533333333333335,4.926666666666667,2.3666666666666667,2.0000000000000004,3.0666666666666664
CLERIC,22,8.135333333333334,8.107333333333333,8.158666666666667,13.20125,12.425,14.510000000000002,4.8966666666666665,4.8533333333333335,4.92,2.4333333333333336,2.0000000000000004,3.2
