cohort,variant,level,gap_h,session_min,progress_gap_pct,sale_gap_pct
calibration,previous_12h,20,4.0,1.0,1.8222290163434351,2.9914293249721613
calibration,previous_12h,21,4.0,1.0,1.769240964409935,2.9679097590021852
calibration,previous_12h,22,4.0,1.0,1.7517015586045348,3.043044647340243
calibration,previous_12h,23,4.0,1.0,1.7494670805086043,3.188059971592505
calibration,previous_12h,24,4.0,1.0,1.63394292598118,3.0349242493665995
calibration,previous_12h,25,4.0,1.0,1.5459907187134414,3.002761936626386
calibration,previous_12h,26,4.0,1.0,1.4914928077469192,2.9996542514511004
calibration,previous_12h,27,4.0,1.0,1.4452295471000909,3.0890057717244845
calibration,previous_12h,28,4.0,1.0,1.3688101444472078,3.1541201529343033
calibration,previous_12h,29,4.0,1.0,1.3147524786438325,3.2120948022177576
calibration,previous_12h,30,4.0,1.0,1.2255111043840028,3.1269660151918677
calibration,previous_12h,31,4.0,1.0,1.140605329799449,3.093984310681064
calibration,previous_12h,32,4.0,1.0,1.1343243311010331,3.262899899916394
calibration,previous_12h,33,4.0,1.0,1.2059282199122556,3.2691664743593973
calibration,previous_12h,34,4.0,1.0,1.254207243586447,3.318562570528072
calibration,previous_12h,35,4.0,1.0,1.34466480687494,3.458203300031304
calibration,previous_12h,36,4.0,1.0,1.40285667511304,3.502636030992834
calibration,previous_12h,37,4.0,1.0,1.3891670159698055,3.486640160404475
calibration,previous_12h,38,4.0,1.0,1.4242545845484456,3.587062460563395
calibration,previous_12h,39,4.0,1.0,1.4795564619993984,3.635846906700002
calibration,previous_12h,40,4.0,1.0,1.5504840776187745,3.7264356911642427
calibration,previous_12h,41,4.0,1.0,1.656972707033555,3.873396172963206
calibration,previous_12h,42,4.0,1.0,1.7425618778619256,3.943743914340425
calibration,previous_12h,43,4.0,1.0,1.843353943078463,4.056429795605676
calibration,previous_12h,44,4.0,1.0,1.9714348725792252,4.188661860291387
calibration,previous_12h,45,4.0,1.0,2.0719618349652746,4.218277928142866
calibration,previous_12h,46,4.0,1.0,2.186145918750504,4.42947488023282
