catalogId|elapsed|reduced|damageVisible|damage|damageAlpha|damageScale|damageY|damageFinal|energy|labelAlpha|cameraX|cameraY|cameraScale
warrior_t01_c01|0|0|0|0|0.0|1.0|0.0|1|0.78|0.0|0.0|0.0|1.0
warrior_t01_c01|10|0|0|0|0.0|1.0|0.0|1|0.78|0.0|0.0|0.0|1.0
warrior_t01_c01|20|0|0|0|0.0|1.0|0.0|1|0.78|0.0|0.0|0.0|1.0
warrior_t01_c01|30|0|0|0|0.0|1.0|0.0|1|0.78|0.0|0.0|0.0|1.0
warrior_t01_c01|40|0|0|0|0.0|1.0|0.0|1|0.78|0.0|0.0|0.0|1.0
warrior_t01_c01|50|0|0|0|0.0|1.0|0.0|1|0.78|0.0|0.0|0.0|1.0
warrior_t01_c01|60|0|0|0|0.0|1.0|0.0|1|0.78|0.0|0.0|0.0|1.0
warrior_t01_c01|70|0|0|0|0.0|1.0|0.0|1|0.78|0.0|0.0|0.0|1.0
warrior_t01_c01|80|0|0|0|0.0|1.0|0.0|1|0.78|0.0|0.0|0.0|1.0
warrior_t01_c01|90|0|0|0|0.0|1.0|0.0|1|0.78|0.0|0.0|0.0|1.0
warrior_t01_c01|100|0|0|0|0.0|1.0|0.0|1|0.78|0.0|0.0|0.0|1.0
warrior_t01_c01|110|0|0|0|0.0|1.0|0.0|1|0.78|0.0|0.0|0.0|1.0
warrior_t01_c01|120|0|0|0|0.0|1.0|0.0|1|0.78|0.0|0.0|0.0|1.0
warrior_t01_c01|130|0|0|0|0.0|1.0|0.0|1|0.78|0.0|0.0|0.0|1.0
warrior_t01_c01|140|0|0|0|0.0|1.0|0.0|1|0.78|0.0|0.0|0.0|1.0
warrior_t01_c01|150|0|0|0|0.0|1.0|0.0|1|0.78|0.0|0.0|0.0|1.0
warrior_t01_c01|160|0|0|0|0.0|1.0|0.0|1|0.78|0.0|0.0|0.0|1.0
warrior_t01_c01|170|0|0|0|0.0|1.0|0.0|1|0.78|0.0|0.0|0.0|1.0
warrior_t01_c01|180|0|0|0|0.0|1.0|0.0|1|0.78|0.0|0.0|0.0|1.0
warrior_t01_c01|190|0|0|0|0.0|1.0|0.0|1|0.78|0.0|0.0|0.0|1.0
warrior_t01_c01|200|0|0|0|0.0|1.0|0.0|1|0.78|0.0|0.0|0.0|1.0
