,,cap_h,cap_h,cap_h,raw_proc_pct,raw_proc_pct,raw_proc_pct,search_s,search_s,search_s,sale_bonus_pct,sale_bonus_pct,sale_bonus_pct,bag,bag,bag,con,con,con,mental,mental,mental
,,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max
level,class,,,,,,,,,,,,,,,,,,,,,
1,CLERIC,8.062333420647102,8.043486779820661,8.081233628427691,9.911642718385663,9.179316093710632,10.760455427366507,4.925,4.8933333333333335,4.966666666666667,1.5055555555555555,0.8,2.0,19.833333333333332,18,22,11.041666666666666,6,17,10.4375,4.5,15.0
1,MAGE,8.062333420647102,8.043486779820661,8.081233628427691,9.57830938505233,8.179316093710632,10.760455427366507,4.925,4.8933333333333335,4.966666666666667,1.5055555555555555,0.8,2.0,19.833333333333332,18,22,11.041666666666666,6,17,10.4375,4.5,15.0
1,PALADIN,8.062333420647102,8.043486779820661,8.081233628427691,9.744976051718997,9.179316093710632,10.552842804411469,4.925,4.8933333333333335,4.966666666666667,1.5055555555555555,0.8,2.0,19.833333333333332,18,22,11.041666666666666,6,17,10.4375,4.5,15.0
1,RANGER,8.062333420647102,8.043486779820661,8.081233628427691,9.911642718385663,9.179316093710632,10.760455427366507,4.925,4.8933333333333335,4.966666666666667,1.5055555555555555,0.8,2.0,19.833333333333332,18,22,11.041666666666666,6,17,10.4375,4.5,15.0
1,ROGUE,8.062333420647102,8.043486779820661,8.081233628427691,9.786642718385663,8.640466289215697,10.760455427366507,4.925,4.8933333333333335,4.966666666666667,1.5055555555555555,0.8,2.0,19.833333333333332,18,22,11.041666666666666,6,17,10.4375,4.5,15.0
1,WARRIOR,8.062333420647102,8.043486779820661,8.081233628427691,9.744976051718997,9.179316093710632,10.640466289215697,4.925,4.8933333333333335,4.966666666666667,1.5055555555555555,0.8,2.0,19.833333333333332,18,22,11.041666666666666,6,17,10.4375,4.5,15.0
2,CLERIC,8.064187299290746,8.048789920392213,8.085987394290242,10.01514992862114,9.22813897202685,10.821690436097647,4.9238888888888885,4.8933333333333335,4.966666666666667,1.6055555555555554,0.9333333333333333,2.1333333333333333,19.916666666666668,18,22,11.166666666666666,7,18,10.791666666666666,5.5,16.0
2,MAGE,8.064187299290746,8.048789920392213,8.085987394290242,9.739954695810964,8.22813897202685,10.821690436097647,4.9238888888888885,4.8933333333333335,4.966666666666667,1.5277777777777777,0.8,2.1333333333333333,19.916666666666668,18,22,11.166666666666666,7,18,11.083333333333334,5.5,16.0
2,PALADIN,8.064187299290746,8.048789920392213,8.085987394290242,9.836564677970022,9.203483059137744,10.640466289215697,4.9238888888888885,4.8933333333333335,4.966666666666667,1.6055555555555554,0.9333333333333333,2.1333333333333333,20.083333333333332,18,22,11.166666666666666,7,18,10.583333333333334,5.0,15.5
2,RANGER,8.064187299290746,8.048789920392213,8.085987394290242,10.061369445159842,9.203483059137744,10.790974150509701,4.921111111111111,4.8933333333333335,4.96,1.5277777777777777,0.8,2.1333333333333333,19.916666666666668,18,22,11.166666666666666,7,18,10.875,5.0,15.5
2,ROGUE,8.064187299290746,8.048789920392213,8.085987394290242,10.003231344636689,9.203483059137744,10.790974150509701,4.921111111111111,4.8933333333333335,4.96,1.5277777777777777,0.8,2.1333333333333333,20.25,18,23,11.166666666666666,7,18,10.583333333333334,5.0,15.5
2,WARRIOR,8.066259428586964,8.05285977104182,8.085987394290242,9.794898011303355,9.203483059137744,10.640466289215697,4.9238888888888885,4.8933333333333335,4.966666666666667,1.5277777777777777,0.8,2.1333333333333333,20.083333333333332,18,22,11.75,8,18,10.583333333333334,5.0,15.5
3,CLERIC,8.066951128375146,8.050202989977258,8.088477789244612,10.304157456972113,9.304706627873212,11.611021185579084,4.920833333333333,4.8933333333333335,4.96,1.8253328937035287,1.2,2.4746561155513565,21.041666666666668,19,23,11.416666666666666,7,18,11.479166666666666,7.0,17.0
3,MAGE,8.066951128375146,8.050202989977258,8.088477789244612,10.189440486480066,9.304706627873212,11.91497643983651,4.920833333333333,4.8933333333333335,4.96,1.5888888888888888,0.9333333333333333,2.2666666666666666,21.041666666666668,19,23,11.416666666666666,7,18,12.375,7.0,17.5
3,PALADIN,8.066808924426724,8.050202989977258,8.088477789244612,10.186372777897814,9.304706627873212,10.821690436097647,4.920833333333333,4.8933333333333335,4.966666666666667,1.797555115925751,1.0666666666666667,2.4746561155513565,21.708333333333332,20,23,11.375,7,18,10.875,5.5,16.0
3,RANGER,8.067109849130487,8.050202989977258,8.088477789244612,10.237814253027567,9.253247842056059,10.852599327957776,4.913611111111111,4.88,4.953333333333333,1.5888888888888888,0.9333333333333333,2.2666666666666666,21.083333333333332,19,23,11.458333333333334,7,18,11.770833333333334,6.0,16.5
3,ROGUE,8.066970384244556,8.05439071296858,8.088477789244612,10.269565623479116,9.552842804411469,10.821690436097647,4.910277777777778,4.88,4.953333333333333,1.5777777777777777,0.9333333333333333,2.2666666666666666,21.791666666666668,19,25,11.416666666666666,8,18,10.875,5.5,16.0
3,WARRIOR,8.072179142808123,8.058373571417981,8.094251605524256,10.186372777897814,9.304706627873212,10.821690436097647,4.920833333333333,4.8933333333333335,4.966666666666667,1.5944444444444443,0.9333333333333333,2.2666666666666666,21.708333333333332,20,23,12.916666666666666,9,20,10.875,5.5,16.0
4,CLERIC,8.06919406986704,8.051771154960576,8.091241524451572,10.40912371290608,9.331007450327753,11.640466289215697,4.9191666666666665,4.8933333333333335,4.96,1.9221542598793622,1.3333333333333333,2.531702237104692,21.166666666666668,19,23,11.458333333333334,7,18,11.854166666666666,7.5,17.0
4,MAGE,8.06919406986704,8.051771154960576,8.091241524451572,10.353398021197874,9.357661535999922,11.94643601672029,4.9191666666666665,4.8933333333333335,4.96,1.611111111111111,0.9333333333333333,2.2666666666666666,21.166666666666668,19,23,11.458333333333334,7,18,13.041666666666666,8.0,18.0
4,PALADIN,8.069227362831212,8.056089687701633,8.091241524451572,10.323168955567663,9.304706627873212,10.821690436097647,4.919444444444444,4.886666666666667,4.966666666666667,1.8777098154349179,1.2,2.531702237104692,22.041666666666668,20,24,11.458333333333334,8,18,11.083333333333334,6.0,16.0
4,RANGER,8.069509372022406,8.051771154960576,8.091241524451572,10.38447938925027,9.253247842056059,10.883696141208299,4.908611111111111,4.88,4.953333333333333,1.6166666666666665,0.9333333333333333,2.2666666666666666,21.208333333333332,19,23,11.541666666666666,7,18,12.145833333333334,6.0,17.0
4,ROGUE,8.06934349800588,8.056089687701633,8.091241524451572,10.322945384786852,9.552842804411469,10.821690436097647,4.908333333333333,4.88,4.953333333333333,1.6166666666666665,0.9333333333333333,2.2666666666666666,22.291666666666668,20,25,11.5,8,18,11.083333333333334,6.0,16.0
4,WARRIOR,8.07659124777483,8.060196956652414,8.097195694461423,10.23983562223433,9.304706627873212,10.821690436097647,4.919444444444444,4.886666666666667,4.966666666666667,1.6055555555555554,0.9333333333333333,2.2666666666666666,22.041666666666668,20,24,13.541666666666666,9,20,11.083333333333334,6.0,16.0
5,CLERIC,8.071717883018025,8.053449371392933,8.0973051750985,10.51431976883441,9.331007450327753,11.790974150509701,4.918888888888889,4.8933333333333335,4.96,2.0304313334770216,1.3333333333333333,2.5970186701151796,22.291666666666668,20,24,11.541666666666666,7,19,12.229166666666666,7.5,17.0
5,MAGE,8.071717883018025,8.053449371392933,8.0973051750985,10.437190217275708,9.384651086755747,11.978070875765862,4.918888888888889,4.8933333333333335,4.96,1.638888888888889,0.9333333333333333,2.4,22.291666666666668,20,24,11.541666666666666,7,19,13.75,8.5,18.5
5,PALADIN,8.07176091472913,8.057907893914306,8.094199214419364,10.418533328898295,9.304706627873212,10.821690436097647,4.918055555555555,4.886666666666667,4.966666666666667,1.9637646668103548,1.3333333333333333,2.5970186701151796,23.375,21,25,11.541666666666666,8,18,11.291666666666666,6.0,16.0
5,RANGER,8.07204340602434,8.053449371392933,8.0973051750985,10.416275762482147,9.253247842056059,10.91497643983651,4.905833333333333,4.88,4.94,1.6444444444444446,0.9333333333333333,2.4,22.333333333333332,20,24,11.625,7,19,12.6875,6.0,17.5
5,ROGUE,8.072055773357198,8.057907893914306,8.094199214419364,10.410973619715069,9.611021185579084,10.821690436097647,4.902222222222222,4.873333333333333,4.953333333333333,1.6500000000000001,0.9333333333333333,2.2666666666666666,23.458333333333332,21,26,11.625,8,18,11.166666666666666,6.5,16.0
5,WARRIOR,8.081527484801045,8.062148304307472,8.10332736508971,10.293533328898295,9.304706627873212,10.821690436097647,4.918055555555555,4.886666666666667,4.966666666666667,1.6166666666666665,0.9333333333333333,2.4,23.375,21,25,14.25,9,21,11.291666666666666,6.0,16.0
