level,class,con,mental,cap_h,raw_proc_pct,search_s,sale_bonus_pct,bag
1,CLERIC,11.041666666666666,10.4375,8.013181578491501,9.911642718385663,4.925,1.1291666666666667,19.833333333333332
1,MAGE,11.041666666666666,10.4375,8.013181578491501,9.57830938505233,4.925,1.1291666666666667,19.833333333333332
1,PALADIN,11.041666666666666,10.4375,8.013181578491501,9.744976051718997,4.925,1.1291666666666667,19.833333333333332
1,RANGER,11.041666666666666,10.4375,8.013181578491501,9.911642718385663,4.925,1.1291666666666667,19.833333333333332
1,ROGUE,11.041666666666666,10.4375,8.013181578491501,9.786642718385663,4.925,1.1291666666666667,19.833333333333332
1,WARRIOR,11.041666666666666,10.4375,8.013181578491501,9.744976051718997,4.925,1.1291666666666667,19.833333333333332
2,CLERIC,11.166666666666666,10.791666666666666,8.013667797492007,10.01514992862114,4.9238888888888885,1.2041666666666668,19.916666666666668
2,MAGE,11.166666666666666,11.083333333333334,8.013667797492007,9.739954695810964,4.9238888888888885,1.1458333333333333,19.916666666666668
2,PALADIN,11.166666666666666,10.583333333333334,8.013667797492007,9.836564677970022,4.9238888888888885,1.2041666666666668,20.083333333333332
2,RANGER,11.166666666666666,10.875,8.013667797492007,10.061369445159842,4.921111111111111,1.1458333333333333,19.916666666666668
2,ROGUE,11.166666666666666,10.583333333333334,8.013667797492007,10.003231344636689,4.921111111111111,1.1458333333333333,20.25
2,WARRIOR,11.75,10.583333333333334,8.01451177783416,9.794898011303355,4.9238888888888885,1.1458333333333333,20.083333333333332
3,CLERIC,11.416666666666666,11.479166666666666,8.014437338786932,10.304157456972113,4.920833333333333,1.3689996702776466,21.041666666666668
3,MAGE,11.416666666666666,12.375,8.014437338786932,10.189440486480066,4.920833333333333,1.1916666666666667,21.041666666666668
3,PALADIN,11.375,10.875,8.014373313803723,10.186372777897814,4.920833333333333,1.3481663369443133,21.708333333333332
3,RANGER,11.458333333333334,11.770833333333334,8.014497942415113,10.237814253027567,4.913611111111111,1.1916666666666667,21.083333333333332
3,ROGUE,11.416666666666666,10.875,8.014434105383284,10.269565623479116,4.910277777777778,1.1833333333333333,21.791666666666668
3,WARRIOR,12.916666666666666,10.875,8.016724479315732,10.186372777897814,4.920833333333333,1.1958333333333333,21.708333333333332
4,CLERIC,11.458333333333334,11.854166666666666,8.014953242987803,10.40912371290608,4.9191666666666665,1.4416156949095216,21.166666666666668
4,MAGE,11.458333333333334,13.041666666666666,8.014953242987803,10.353398021197874,4.9191666666666665,1.2083333333333333,21.166666666666668
4,PALADIN,11.458333333333334,11.083333333333334,8.014946826150629,10.323168955567663,4.919444444444444,1.4082823615761884,22.041666666666668
4,RANGER,11.541666666666666,12.145833333333334,8.015080672133282,10.38447938925027,4.908611111111111,1.2125000000000001,21.208333333333332
4,ROGUE,11.5,11.083333333333334,8.01501992946787,10.322945384786852,4.908333333333333,1.2125000000000001,22.291666666666668
4,WARRIOR,13.541666666666666,11.083333333333334,8.018248087571385,10.23983562223433,4.919444444444444,1.2041666666666666,22.041666666666668
5,CLERIC,11.541666666666666,12.229166666666666,8.015579859969483,10.51431976883441,4.918888888888889,1.522823500107766,22.291666666666668
5,MAGE,11.541666666666666,13.75,8.015579859969483,10.437190217275708,4.918888888888889,1.2291666666666667,22.291666666666668
5,PALADIN,11.541666666666666,11.291666666666666,8.015570785835644,10.418533328898295,4.918055555555555,1.472823500107766,23.375
5,RANGER,11.625,12.6875,8.01571141986472,10.416275762482147,4.905833333333333,1.2333333333333334,22.333333333333332
5,ROGUE,11.625,11.166666666666666,8.015709539018859,10.410973619715069,4.902222222222222,1.2375,23.458333333333332
5,WARRIOR,14.25,11.291666666666666,8.0200286123823,10.293533328898295,4.918055555555555,1.2125000000000001,23.375
6,CLERIC,11.833333333333334,13.145833333333334,8.016575801454293,10.859782746575478,4.9174999999999995,1.6459145602251046,23.458333333333332
6,MAGE,11.833333333333334,15.145833333333334,8.016575801454293,10.688048837215705,4.9174999999999995,1.2583333333333335,23.458333333333332
6,PALADIN,12.0,11.604166666666666,8.016840474872739,10.519845164131473,4.914722222222222,1.6000812268917715,25.0
6,RANGER,11.916666666666666,13.520833333333334,8.016711705971296,10.757571980741126,4.8975,1.2708333333333333,23.458333333333332
6,ROGUE,11.958333333333334,11.604166666666666,8.01679161903922,10.602822833493098,4.894722222222222,1.2625,25.208333333333332
6,WARRIOR,15.708333333333334,11.604166666666666,8.023232308944028,10.519845164131473,4.914722222222222,1.2416666666666667,25.0
7,CLERIC,12.125,13.520833333333334,8.017629896474473,10.882027066827817,4.916666666666667,1.7200841519486492,23.458333333333332
7,MAGE,12.125,15.770833333333334,8.017629896474473,10.767918157974615,4.916666666666667,1.2916666666666667,23.458333333333332
7,PALADIN,12.083333333333334,11.833333333333334,8.017553230840852,10.616597137146714,4.914166666666667,1.6633894346324327,25.25
7,RANGER,12.208333333333334,13.9375,8.017770324022168,10.990787540861026,4.893998129956697,1.2958333333333334,23.5
7,ROGUE,12.0,11.770833333333334,8.017417815237273,10.654235427717035,4.8903277232034235,1.2875,25.541666666666668
7,WARRIOR,16.291666666666668,11.833333333333334,8.025085610364041,10.616597137146714,4.914166666666667,1.2583333333333333,25.25
8,CLERIC,12.291666666666666,13.916666666666666,8.018517722141082,11.113851832131836,4.916111111111111,1.800721040103558,24.5
8,MAGE,12.291666666666666,16.4375,8.018517722141082,10.892301456306834,4.916111111111111,1.3208333333333333,24.5
8,PALADIN,12.208333333333334,12.0,8.018364125884204,10.751346019466089,4.913055555555555,1.75195508270809,26.541666666666668
8,RANGER,12.375,14.375,8.018662826684313,11.183695057728855,4.8902777777777775,1.3208333333333333,24.583333333333332
8,ROGUE,12.208333333333334,11.875,8.018373644254291,10.910214046510191,4.885490386131953,1.3125,26.875
8,WARRIOR,17.041666666666668,12.0,8.02735947713663,10.751346019466089,4.913055555555555,1.2916666666666667,26.541666666666668
9,CLERIC,12.625,14.875,8.01976599108974,11.338682860222592,4.913888888888889,1.8854065709750838,24.75
9,MAGE,12.625,17.791666666666668,8.01976599108974,11.268536981914835,4.913888888888889,1.3416666666666668,24.75
9,PALADIN,12.666666666666666,12.333333333333334,8.019805481491472,11.020986224207165,4.910833333333334,1.8691585901134005,27.083333333333332
9,RANGER,12.708333333333334,15.104166666666666,8.019915908608342,11.3529686541454,4.881528450823883,1.3458333333333334,24.875
9,ROGUE,12.583333333333334,12.166666666666666,8.019670206624623,11.21892483654859,4.877333871770218,1.3458333333333334,27.541666666666668
9,WARRIOR,18.541666666666668,12.333333333333334,8.031248616309695,10.9793195575405,4.910833333333334,1.3287479808616836,27.083333333333332
10,CLERIC,12.833333333333334,15.208333333333334,8.020819990475797,11.48366485202615,4.9125000000000005,1.9524646127206884,25.791666666666668
10,MAGE,12.833333333333334,18.416666666666668,8.020819990475797,11.474575228342525,4.9125000000000005,1.3625,25.791666666666668
10,PALADIN,12.875,12.479166666666666,8.020858280252531,11.196218322478686,4.91,1.9408156396936775,28.458333333333332
10,RANGER,12.916666666666666,15.520833333333334,8.02097484310164,11.420306453375723,4.877779743737739,1.366666666666667,25.916666666666668
10,ROGUE,12.875,12.3125,8.020884321169802,11.269085784578055,4.874334906101303,1.3625,28.916666666666668
10,WARRIOR,19.291666666666668,12.479166666666666,8.033840770647219,11.237884989145352,4.91,1.3458333333333334,28.458333333333332
11,CLERIC,12.958333333333334,15.708333333333334,8.021753280571277,11.597557407998707,4.911944444444445,2.0040702787257403,26.875
11,MAGE,12.958333333333334,19.125,8.021753280571277,11.72793843607611,4.911944444444445,1.375,26.875
11,PALADIN,13.083333333333334,12.666666666666666,8.02195159065179,11.373618557887497,4.909722222222222,2.0027456484641357,29.833333333333332
11,RANGER,13.125,15.916666666666666,8.022076035652368,11.486124533576097,4.8732450246492265,1.375,27.0
11,ROGUE,13.083333333333334,12.479166666666666,8.021980066791608,11.320336195592281,4.87157835798256,1.3916666666666666,30.25
11,WARRIOR,19.958333333333332,12.666666666666666,8.036389005807402,11.33195189122083,4.909722222222222,1.3583333333333334,29.833333333333332
12,CLERIC,13.083333333333334,16.083333333333332,8.022709836848362,11.745570014233637,4.91,2.06929867101925,26.958333333333332
12,MAGE,13.083333333333334,19.770833333333332,8.022709836848362,11.769238541223023,4.91,1.3916666666666666,26.958333333333332
12,PALADIN,13.125,12.875,8.022745215091721,11.469391339882122,4.908333333333333,2.059085334576929,30.25
12,RANGER,13.25,16.3125,8.023042983765393,11.552376006251324,4.867980355431196,1.3958333333333333,27.041666666666668
12,ROGUE,13.125,12.645833333333334,8.022775858567647,11.41353601310045,4.866010844278632,1.4166666666666667,30.625
12,WARRIOR,20.458333333333332,12.875,8.038695157381147,11.386058006548788,4.908333333333333,1.3708333333333333,30.25
13,CLERIC,13.458333333333334,16.895833333333332,8.024238111039594,12.045752555035422,4.908333333333333,2.2001402467310327,28.125
13,MAGE,13.458333333333334,21.125,8.024238111039594,12.106764980947473,4.908333333333333,1.425,28.125
13,PALADIN,13.375,13.229166666666666,8.024001926914783,11.615147990411858,4.9063888888888885,2.1766501542068952,32.0
13,RANGER,13.666666666666666,17.166666666666668,8.02468065541535,12.06380322461189,4.860167767497318,1.429166666666667,28.208333333333332
13,ROGUE,13.416666666666666,13.166666666666666,8.024115091549248,11.652894810799017,4.858845985607356,1.429166666666667,32.166666666666664
13,WARRIOR,21.5,13.229166666666666,8.042373666426013,11.573481323745192,4.9063888888888885,1.4166666666666667,32.0
14,CLERIC,13.666666666666666,17.291666666666668,8.025457263453442,12.153838134914865,4.907777777777778,2.273164734088357,28.208333333333332
14,MAGE,13.666666666666666,21.75,8.025457263453442,12.189227774322722,4.907777777777778,1.4458333333333335,28.208333333333332
14,PALADIN,13.583333333333334,13.395833333333334,8.025215794603938,11.667004735655189,4.905833333333333,2.2253534419498004,32.333333333333336
