,,cap_h,cap_h,cap_h,raw_proc_pct,raw_proc_pct,raw_proc_pct,search_s,search_s,search_s,sale_bonus_pct,sale_bonus_pct,sale_bonus_pct,bag,bag,bag,hp,hp,hp,mp,mp,mp
,,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max
level,class,,,,,,,,,,,,,,,,,,,,,
1,CLERIC,8.01050162353799,8.00796214341107,8.012930732976299,9.516562500000001,9.011666666666667,10.02,4.93,4.9,4.966666666666667,1.6083333333333334,0.8,2.0,19.8125,18,22,8.5,6,11,9.9375,7,12
1,MAGE,8.008462164113054,8.005756479845022,8.01101293314755,9.131837798925718,8.00456457681531,10.008483913012949,4.93,4.9,4.966666666666667,1.6083333333333334,0.8,2.0,19.8125,18,22,6.5,4,9,9.9375,7,12
1,PALADIN,8.012443602478525,8.010022613543374,8.014779633924967,9.263229166666667,9.008333333333333,10.013333333333334,4.93,4.9,4.966666666666667,1.6083333333333334,0.8,2.0,19.8125,18,22,10.5,8,13,7.9375,5,10
1,RANGER,8.012443602478525,8.010022613543374,8.014779633924967,9.325729166666667,9.008333333333333,10.016666666666667,4.93,4.9,4.966666666666667,1.6083333333333334,0.8,2.0,19.8125,18,22,10.5,8,13,7.9375,5,10
1,ROGUE,8.01050162353799,8.00796214341107,8.012930732976299,9.134895833333333,8.011666666666667,10.013333333333334,4.93,4.9,4.966666666666667,1.6083333333333334,0.8,2.0,19.8125,18,22,8.5,6,11,5.9375,3,8
1,WARRIOR,8.012443602478525,8.010022613543374,8.014779633924967,9.2565625,9.001666666666667,10.008333333333333,4.93,4.9,4.966666666666667,1.6083333333333334,0.8,2.0,19.8125,18,22,10.5,8,13,3.9375,1,6
2,CLERIC,8.016205556314345,8.012930732976299,8.019174630310284,9.650729166666666,9.016666666666667,10.031666666666666,4.92875,4.8933333333333335,4.966666666666667,1.7,0.9333333333333333,2.1333333333333333,19.9375,18,22,14.625,11,18,15.4375,10,19
2,MAGE,8.014396357662354,8.01101293314755,8.017450383731767,9.261356369863499,8.006879197435103,10.014391445425273,4.92875,4.8933333333333335,4.966666666666667,1.6333333333333333,0.8,2.1333333333333333,19.9375,18,22,12.625,9,16,15.4375,10,19
2,PALADIN,8.017964152803112,8.014779633924967,8.020860897630213,9.397395833333334,9.013333333333334,10.026666666666667,4.92875,4.8933333333333335,4.966666666666667,1.7,0.9333333333333333,2.1333333333333333,20.0625,18,22,16.625,13,20,13.4375,8,17
2,RANGER,8.017964152803112,8.014779633924967,8.020860897630213,9.459895833333334,9.013333333333334,10.028333333333334,4.925416666666667,4.8933333333333335,4.96,1.6333333333333333,0.8,2.1333333333333333,19.9375,18,22,16.625,13,20,13.4375,8,17
2,ROGUE,8.016205556314345,8.012930732976299,8.019174630310284,9.3940625,9.01,10.025,4.925416666666667,4.8933333333333335,4.96,1.6333333333333333,0.8,2.1333333333333333,20.25,18,23,14.625,11,18,11.4375,6,15
2,WARRIOR,8.017964152803112,8.014779633924967,8.020860897630213,9.265729166666667,9.006666666666666,10.018333333333333,4.92875,4.8933333333333335,4.966666666666667,1.6333333333333333,0.8,2.1333333333333333,20.0625,18,22,16.625,13,20,9.4375,4,13
3,CLERIC,8.026143790291886,8.02002220373109,8.033384970435225,9.920208333333333,9.025,11.048333333333334,4.925416666666667,4.8933333333333335,4.96,1.9129993405552932,1.3333333333333333,2.4746561155513565,21.0625,19,23,26.625,19,36,27.125,15,36
3,MAGE,8.024547330888764,8.018317581497797,8.031892761782258,9.772080729884747,9.010965860629701,11.030011358166153,4.925416666666667,4.8933333333333335,4.96,1.7,0.9333333333333333,2.2666666666666666,21.0625,19,23,24.625,17,34,27.5,15,36
3,PALADIN,8.028298530294538,8.0225137137527,8.03486068147306,9.727916666666667,9.033333333333333,10.055,4.925,4.8933333333333335,4.966666666666667,1.8963326738886264,1.3333333333333333,2.4746561155513565,21.6875,20,23,29.375,22,38,24.25,13,33
3,RANGER,8.027716869938482,8.02169124257574,8.03486068147306,9.6053125,9.03,10.056666666666667,4.9175,4.88,4.953333333333333,1.6916666666666667,0.9333333333333333,2.2666666666666666,21.125,19,23,28.625,21,38,25.6875,18,34
3,ROGUE,8.026539915460582,8.02002220373109,8.033384970435225,9.725,9.036666666666667,10.053333333333333,4.914166666666667,4.88,4.946666666666666,1.6916666666666667,0.9333333333333333,2.2666666666666666,21.6875,19,25,27.125,19,36,22.5,10,32
3,WARRIOR,8.02859130878358,8.0225137137527,8.03486068147306,9.72125,9.028333333333334,10.048333333333334,4.925,4.8933333333333335,4.966666666666667,1.7,0.9333333333333333,2.2666666666666666,21.6875,20,23,29.75,22,38,20.25,9,29
4,CLERIC,8.030718433294219,8.024937964495647,8.0391986523786,9.9934375,9.031666666666666,11.061666666666667,4.924166666666666,4.8933333333333335,4.96,2.008231389819043,1.3333333333333333,2.531702237104692,21.1875,19,23,32.5625,25,44,33.5625,19,42
4,MAGE,8.029187802209348,8.023328738993547,8.037766646885805,9.778225721975536,9.014391445425273,11.035832281226547,4.924166666666666,4.8933333333333335,4.96,1.725,0.9333333333333333,2.2666666666666666,21.1875,19,23,30.5625,23,42,34.0625,19,42
4,PALADIN,8.033080293632215,8.026521617463274,8.04061769374364,9.862916666666667,9.051666666666666,10.066666666666666,4.92375,4.8933333333333335,4.966666666666667,1.9582313898190433,1.3333333333333333,2.531702237104692,22.125,20,24,35.6875,27,46,30.25,16,40
4,RANGER,8.032184162870134,8.026521617463274,8.04061769374364,9.8034375,9.035,10.066666666666666,4.912916666666667,4.88,4.953333333333333,1.725,0.9333333333333333,2.2666666666666666,21.25,19,23,34.5,27,46,32.0625,21,40
4,ROGUE,8.03119250420895,8.024937964495647,8.04061769374364,9.797083333333333,9.045,10.066666666666666,4.91125,4.88,4.946666666666666,1.725,0.9333333333333333,2.2666666666666666,22.25,20,25,33.1875,25,46,28.25,13,40
4,WARRIOR,8.033738452818872,8.028081958530517,8.04061769374364,9.79375,9.036666666666667,10.06,4.92375,4.8933333333333335,4.966666666666667,1.7083333333333335,0.9333333333333333,2.2666666666666666,22.125,20,24,36.5625,29,46,26.25,12,36
5,CLERIC,8.035088291563383,8.028853998118144,8.044803471974063,10.06625,9.041666666666666,11.075,4.92375,4.8933333333333335,4.96,2.1123136668821987,1.3333333333333333,2.5970186701151796,22.3125,20,24,38.4375,30,52,39.75,25,49
5,MAGE,8.033609894743934,8.027304574960299,8.04341951807829,9.847052664937442,9.019731894464668,11.043787815448118,4.92375,4.8933333333333335,4.96,1.75,0.9333333333333333,2.4,22.3125,20,24,36.4375,28,50,40.625,25,50
5,PALADIN,8.037450327790328,8.030382882774845,8.046078839900893,9.998125,9.061666666666667,10.08,4.922083333333333,4.886666666666667,4.966666666666667,2.037313666882199,1.3333333333333333,2.5970186701151796,23.375,21,25,41.75,32,55,36.375,22,48
5,RANGER,8.036592772528858,8.030382882774845,8.046078839900893,9.813854166666667,9.045,10.078333333333333,4.909583333333333,4.88,4.94,1.75,0.9333333333333333,2.4,22.375,20,24,40.5,32,54,38.3125,27,47
5,ROGUE,8.03598245870385,8.028853998118144,8.046078839900893,9.931666666666667,9.055,10.081666666666667,4.904583333333333,4.873333333333333,4.94,1.7416666666666667,0.9333333333333333,2.2666666666666666,23.375,21,26,39.6875,30,54,34.0,17,49
5,WARRIOR,8.038451960773818,8.031140110352299,8.046078839900893,9.803958333333334,9.045,10.073333333333334,4.922083333333333,4.886666666666667,4.966666666666667,1.7166666666666668,0.9333333333333333,2.4,23.375,21,25,43.125,33,55,32.375,18,44
6,CLERIC,8.043662384319036,8.037045552881072,8.049083615211003,10.338229166666666,9.075,11.106666666666667,4.9225,4.8933333333333335,4.96,2.2668291204502093,1.6,2.669265927203349,23.5,22,25,51.4375,41,69,52.9375,35,64
6,MAGE,8.04246642297146,8.035592679257517,8.049083615211003,9.98618164035798,9.030011358166153,11.060257803921644,4.9225,4.8933333333333335,4.96,1.7833333333333334,1.0666666666666667,2.5333333333333337,23.5,22,25,49.4375,39,67,54.75,36,66
6,PALADIN,8.044917910444854,8.038484314917007,8.049083615211003,10.079062500000001,10.05,10.103333333333333,4.919583333333334,4.886666666666667,4.966666666666667,2.191829120450209,1.6,2.669265927203349,25.0625,23,27,54.375,43,70,47.4375,30,62
6,RANGER,8.044678660775814,8.038484314917007,8.049083615211003,10.210208333333334,10.06,11.091666666666667,4.900833333333333,4.873333333333333,4.926666666666667,1.8,1.0666666666666667,2.5333333333333337,23.5,21,25,53.3125,43,71,51.125,36,62
