mp_threshold,power,mean_pct,min_pct,max_pct,at_cap,samples
7200,1.0,34.57083333333333,33.735416666666666,35.0,4,16
7200,1.1,34.529334766871116,33.61497650729087,35.0,4,16
7200,1.15,34.508679586422375,33.555153041925635,35.0,4,16
7200,1.2,34.48808684808428,33.49559243760952,35.0,4,16
7200,1.3,34.44708782345492,33.37725519721104,35.0,4,16
7500,1.0,34.070875,33.186,34.912,0,16
7500,1.1,33.98225449522879,33.017130315995885,34.90322844478102,0,16
7500,1.15,33.93822599831957,32.93350821475934,34.89884460221693,0,16
7500,1.2,33.89438411673955,32.85042330226143,34.89446204917718,0,16
7500,1.3,33.807256563636045,32.68585126203908,34.88570081015348,0,16
7800,1.0,33.529687499999994,32.67884615384615,34.33846153846154,0,16
7800,1.1,33.39184855529692,32.46747710648996,34.273934034429466,0,16
7800,1.15,33.323525633693365,32.36311767750826,34.24177926186473,0,16
7800,1.2,33.25559705304366,32.259631792574346,34.209696924088895,0,16
7800,1.3,33.12091293826339,32.055251467938255,34.14574890057855,0,16
8000,1.0,33.1914453125,32.361875,33.980000000000004,0,16
8000,1.1,33.02403655901008,32.125053308590545,33.88189523930782,0,16
8000,1.15,32.941197640104264,32.00834926964822,33.83310133081036,0,16
8000,1.2,32.85893001465328,31.892768510938883,33.78447892955059,0,16
8000,1.3,32.69609180765379,31.66493369184375,33.6877462395184,0,16
8500,1.0,32.41547794117647,31.63470588235294,33.15764705882353,0,16
8500,1.1,32.18382841045903,31.34284047116989,32.98634481263695,0,16
8500,1.15,32.069692073155,31.199664978641195,32.9015318460345,0,16
8500,1.2,31.95666623262873,31.05829672493535,32.81727278735669,0,16
8500,1.3,31.73390138271074,30.7808909741374,32.650401947255546,0,16
9000,1.0,31.725729166666667,30.988333333333333,32.42666666666666,0,16
9000,1.1,31.441364771949576,30.651625335537513,32.1949770671546,0,16
9000,1.15,31.301837771222793,30.487160394271864,32.080757242221146,0,16
9000,1.2,31.16405084424453,30.3252348510843,31.96760721580687,0,16
9000,1.3,30.89360879378704,30.008845727454975,31.74447657286578,0,16
