class,level,seconds_old,seconds_new,sale_gold_old,sale_gold_new,completion_time_reduction_pct,sale_total_change_pct
CLERIC,1,0.0,0.0,0.0,0.0,,
CLERIC,2,765.0,762.5,327.0833333333333,327.0833333333333,0.32679738562091387,0.0
CLERIC,3,5130.0,5120.0,6566.166666666667,6589.083333333333,0.19493177387914784,0.34901134604157225
CLERIC,4,13807.5,13785.0,25960.0,25966.625,0.16295491580662347,0.025520030816639228
CLERIC,5,25892.5,25850.0,62160.916666666664,62223.625,0.1641401950371768,0.10088064445639144
CLERIC,6,41517.5,41447.5,121613.70833333333,121620.0,0.16860360089119286,0.005173484759990465
CLERIC,7,60872.5,60765.0,211197.33333333334,211225.0,0.17659862828042217,0.013099912877678754
CLERIC,8,83512.5,83370.0,332332.625,332332.625,0.17063313875168573,0.0
CLERIC,9,109877.5,109682.5,495103.4583333333,494981.9583333333,0.17747036472435251,-0.024540325452182543
CLERIC,10,139465.0,139210.0,701994.0,701952.125,0.1828415731545574,-0.005965150699294153
CLERIC,11,172592.5,172285.0,962112.1666666666,962213.7083333334,0.1781653316337617,0.010554036232446329
CLERIC,12,209132.5,208752.5,1277669.3333333333,1277343.375,0.18170298734055956,-0.025511947796608148
CLERIC,13,248660.0,248215.0,1653345.1666666667,1653345.1666666667,0.17895922142684428,0.0
CLERIC,14,291517.5,290972.5,2095172.5833333333,2095117.1666666667,0.18695275583798798,-0.002644969063991809
CLERIC,15,337795.0,337155.0,2611754.0,2611591.4583333335,0.18946402403824392,-0.0062234677027928065
CLERIC,16,386805.0,386062.5,3205941.8333333335,3205941.8333333335,0.19195718773025172,0.0
CLERIC,17,439240.0,438390.0,3887078.0416666665,3887563.7916666665,0.1935160732173702,0.012496533251793451
CLERIC,18,494617.5,493647.5,4655963.708333333,4656225.375,0.19611113638317024,0.005620032351161264
CLERIC,19,553432.5,552330.0,5524281.416666667,5524381.125,0.19921128592917947,0.0018049104636874702
CLERIC,20,615475.0,614225.0,6490376.0,6490148.083333333,0.20309517039684977,-0.003511609599615717
CLERIC,21,680725.0,679345.0,7564783.666666667,7564783.666666667,0.2027250358074162,0.0
CLERIC,22,748780.0,747250.0,8753037.5,8753037.5,0.2043323806725561,0.0
CLERIC,23,819967.5,818267.5,10054783.0,10054764.291666666,0.20732529033162805,-0.00018606401882559354
CLERIC,24,893975.0,892097.5,11490393.208333334,11490750.291666666,0.21001705864257536,0.003107668526713958
CLERIC,25,970985.0,968917.5,13047202.791666666,13047813.416666666,0.21292810908510873,0.004680121936861958
CLERIC,26,1050572.5,1048302.5,14744483.0,14744483.0,0.21607266514209744,0.0
CLERIC,27,1132647.5,1130165.0,16584630.291666666,16585046.458333334,0.2191767518137766,0.0025093514859797494
CLERIC,28,1218142.5,1215420.0,18568689.041666668,18568689.041666668,0.22349601955435894,0.0
CLERIC,29,1306735.0,1303785.0,20713788.666666668,20713788.666666668,0.22575350013583906,0.0
CLERIC,30,1398477.5,1395275.0,23021362.416666668,23020749.125,0.2289990364521377,-0.002664011171749081
CLERIC,31,1492740.0,1489260.0,25484088.875,25484101.875,0.23312834117127368,5.1012222024304776e-05
CLERIC,32,1589525.0,1585772.5,28124235.416666668,28124343.125,0.23607681540083192,0.00038297337416892674
CLERIC,33,1689392.5,1685350.0,30950267.875,30949710.5,0.23928719939267928,-0.0018008729431695514
CLERIC,34,1791737.5,1787387.5,33952724.166666664,33950773.208333336,0.2427810993518853,-0.005746102503445538
CLERIC,35,1896980.0,1892315.0,37149766.791666664,37149766.791666664,0.24591719469894135,0.0
CLERIC,36,2004525.0,1999532.5,40528237.791666664,40528803.583333336,0.24906149835995928,0.0013960430985893169
CLERIC,37,2114372.5,2109025.0,44122010.958333336,44122105.458333336,0.2529119159466964,0.00021417881448382303
CLERIC,38,2227467.5,2221747.5,47948374.875,47948374.875,0.25679387016870336,0.0
CLERIC,39,2342745.0,2336637.5,51961683.875,51959266.041666664,0.2606984541638102,-0.004653108123198191
CLERIC,40,2461317.5,2454805.0,56199763.166666664,56199523.875,0.26459406395151763,-0.00042578767806000783
CLERIC,41,2581952.5,2575042.5,60666832.708333336,60666832.708333336,0.26762692187404236,0.0
CLERIC,42,2705250.0,2697872.5,65359883.416666664,65358424.333333336,0.2727104703816652,-0.0022323836228799188
CLERIC,43,2831042.5,2823217.5,70306601.125,70306601.125,0.27639994807566737,0.0
