level,gap_h,session_min,growth_spread_pct,sale_spread_pct,fastest,slowest,highest_sale,lowest_sale
20,4,1,1.2314066790566347,2.080221029550988,CLERIC,MAGE,CLERIC,MAGE
21,4,1,1.1825627647984227,2.084685457349611,CLERIC,MAGE,CLERIC,MAGE
22,4,1,1.1266289618878655,2.0787470179254086,CLERIC,MAGE,CLERIC,MAGE
23,4,1,1.09292827178733,2.0945286428225574,CLERIC,MAGE,CLERIC,MAGE
24,4,1,1.0755852029759039,2.12462108093594,CLERIC,MAGE,CLERIC,MAGE
25,4,1,1.0591814355978668,2.1532752879326544,CLERIC,MAGE,CLERIC,MAGE
26,4,1,1.0342549347541086,2.179081323422416,CLERIC,MAGE,CLERIC,MAGE
27,4,1,1.0053736091572452,2.210008164406152,CLERIC,MAGE,CLERIC,MAGE
28,4,1,0.9744776117850629,2.2254083836138916,CLERIC,MAGE,CLERIC,MAGE
29,4,1,0.9656482262516697,2.274943798959028,CLERIC,MAGE,CLERIC,MAGE
30,4,1,0.9232730695660107,2.2818100120440166,CLERIC,MAGE,CLERIC,MAGE
31,4,1,0.9025313308593796,2.320827792625746,CLERIC,MAGE,CLERIC,MAGE
32,4,1,0.9002147515695391,2.3724807917962387,CLERIC,MAGE,CLERIC,MAGE
33,4,1,0.9153369249635057,2.408709267501008,CLERIC,PALADIN,CLERIC,MAGE
34,4,1,0.9297012123366644,2.4300337290114493,CLERIC,PALADIN,CLERIC,MAGE
35,4,1,0.9357604341012182,2.458813636407875,CLERIC,PALADIN,CLERIC,MAGE
36,4,1,0.9548122332650344,2.48413644675336,CLERIC,PALADIN,CLERIC,MAGE
37,4,1,0.9697845238737735,2.513885358355772,CLERIC,PALADIN,CLERIC,MAGE
38,4,1,0.9624597057556361,2.526647320101705,CLERIC,PALADIN,CLERIC,MAGE
39,4,1,0.9693821392361412,2.549164091724365,CLERIC,PALADIN,CLERIC,MAGE
40,4,1,0.9748670142568194,2.579844264182385,CLERIC,PALADIN,CLERIC,MAGE
41,4,1,0.9665185528136222,2.5981850042652743,CLERIC,PALADIN,CLERIC,MAGE
42,4,1,0.9722098577340965,2.61134898398363,CLERIC,PALADIN,CLERIC,MAGE
43,4,1,1.0028686516707186,2.6410451945419355,WARRIOR,PALADIN,CLERIC,MAGE
44,4,1,1.0473455669836262,2.665662628867649,WARRIOR,PALADIN,CLERIC,MAGE
45,4,1,1.0899932226671183,2.692773402898574,WARRIOR,PALADIN,CLERIC,MAGE
46,4,1,1.1336681789139602,2.7237304969507825,WARRIOR,PALADIN,CLERIC,MAGE
47,4,1,1.1772255560827949,2.7569759274528316,WARRIOR,PALADIN,CLERIC,MAGE
48,4,1,1.2262053580150312,2.7906139684906517,WARRIOR,PALADIN,CLERIC,MAGE
49,4,1,1.281383265306002,2.8389122259316446,WARRIOR,PALADIN,CLERIC,MAGE
50,4,1,1.3390119942793044,2.878528304953476,WARRIOR,PALADIN,CLERIC,MAGE
51,4,1,1.3950892932571346,2.912001016837573,WARRIOR,PALADIN,CLERIC,MAGE
52,4,1,1.4641815074468267,2.942566755967291,WARRIOR,PALADIN,CLERIC,MAGE
53,4,1,1.5349163871984706,2.971894689917809,WARRIOR,PALADIN,CLERIC,MAGE
54,4,1,1.6056388444522174,2.9988315610592675,WARRIOR,PALADIN,CLERIC,MAGE
55,4,1,1.6769292462081031,3.0226876831580984,WARRIOR,PALADIN,CLERIC,MAGE
56,4,1,1.7562899240225027,3.0475552316391097,WARRIOR,PALADIN,CLERIC,MAGE
57,4,1,1.84095389807295,3.0738336773982633,WARRIOR,PALADIN,CLERIC,MAGE
58,4,1,1.9256024453787157,3.095453154232475,WARRIOR,PALADIN,CLERIC,MAGE
59,4,1,2.015252014657176,3.1184385977665263,WARRIOR,PALADIN,CLERIC,MAGE
60,4,1,2.1058235459085584,3.143602995298944,WARRIOR,PALADIN,CLERIC,MAGE
61,4,1,2.197269160067261,3.168023861302771,WARRIOR,PALADIN,CLERIC,MAGE
62,4,1,2.287717346924789,3.1913196604323346,WARRIOR,PALADIN,CLERIC,MAGE
63,4,1,2.382132779858259,3.224009151220719,WARRIOR,PALADIN,CLERIC,MAGE
64,4,1,2.4800641110965804,3.2557292064821386,WARRIOR,PALADIN,CLERIC,MAGE
65,4,1,2.5797620116123188,3.290329397026226,WARRIOR,PALADIN,CLERIC,MAGE
66,4,1,2.6821312355861826,3.323838299340176,WARRIOR,PALADIN,CLERIC,MAGE
67,4,1,2.786268790270663,3.3598728954334467,WARRIOR,PALADIN,CLERIC,MAGE
68,4,1,2.888469701466012,3.3960251161401,WARRIOR,PALADIN,CLERIC,MAGE
69,4,1,2.9945124965379044,3.4301565811253543,WARRIOR,PALADIN,CLERIC,MAGE
70,4,1,3.1037045633264704,3.4650259003318418,WARRIOR,PALADIN,CLERIC,MAGE
71,4,1,3.2142623585293517,3.502186240188143,WARRIOR,PALADIN,CLERIC,MAGE
